Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dennis Schr̦der,31,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4
Cameron Johnson,28,PF,57,57,31.6,6.2,13.1,.475,2.8,7.2,.390,3.4,5.9,.578,.582,3.5,3.9,.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8
Cam Thomas,23,SG,25,23,31.2,8.0,18.2,.438,2.7,7.8,.349,5.2,10.4,.506,.513,5.3,6.0,.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0
Dorian Finney-Smith,31,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4
Drew Timme,24,PF,9,2,28.2,5.0,11.3,.441,1.0,3.9,.257,4.0,7.4,.537,.485,1.1,1.8,.625,1.9,5.3,7.2,2.2,0.4,0.1,1.7,2.3,12.1
Killian Hayes,23,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0
Nic Claxton,25,C,70,62,26.9,4.6,8.1,.563,0.1,0.3,.238,4.5,7.8,.576,.568,1.1,2.2,.513,2.2,5.1,7.4,2.2,0.9,1.4,1.2,2.1,10.3
Jalen Wilson,24,PF,79,22,25.7,3.1,7.8,.397,1.5,4.6,.337,1.6,3.3,.481,.495,1.7,2.1,.818,0.9,2.5,3.4,1.8,0.5,0.1,1.0,2.1,9.5
Ben Simmons,28,PG,33,24,25.0,2.8,5.2,.547,0.0,0.0,,2.8,5.2,.547,.547,0.5,0.8,.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2
D'Angelo Russell,28,PG,29,26,24.7,4.1,11.3,.367,2.0,6.6,.297,2.2,4.7,.467,.454,2.6,3.2,.826,0.4,2.4,2.8,5.6,1.1,0.7,2.0,2.1,12.9
Ziaire Williams,23,SF,63,45,24.5,3.4,8.3,.412,1.6,4.8,.341,1.8,3.5,.509,.511,1.6,2.0,.821,1.0,3.6,4.6,1.3,1.0,0.4,1.1,2.4,10.0
Keon Johnson,22,SG,79,56,24.4,3.8,9.9,.389,1.6,5.1,.314,2.2,4.8,.468,.470,1.4,1.8,.770,0.8,3.0,3.8,2.2,1.0,0.4,1.5,2.6,10.6
Tosan Evbuomwan,23,SF,28,0,23.8,3.4,7.9,.427,0.9,2.8,.312,2.5,5.1,.490,.482,2.0,2.6,.753,1.1,3.1,4.3,2.0,0.9,0.4,1.4,2.0,9.5
Noah Clowney,20,PF,46,20,22.7,2.9,8.1,.358,1.9,5.7,.333,1.0,2.4,.414,.474,1.5,1.7,.838,0.9,3.0,3.9,0.9,0.5,0.5,1.0,2.3,9.1
Tyrese Martin,25,SG,60,11,21.9,3.2,7.8,.406,1.7,4.7,.351,1.5,3.1,.492,.513,0.8,1.0,.793,1.0,2.7,3.7,2.0,0.6,0.2,1.2,1.3,8.7
Tyson Etienne,25,PG,7,0,21.6,2.4,7.4,.327,1.9,6.3,.295,0.6,1.1,.500,.452,1.1,1.4,.800,0.4,0.9,1.3,1.7,0.4,0.1,1.1,2.4,7.9
Trendon Watford,24,PF,44,6,20.8,3.7,8.0,.469,0.7,2.0,.330,3.1,6.0,.515,.510,2.1,2.8,.762,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,10.2
Shake Milton,28,SG,27,1,18.2,2.7,5.8,.465,1.0,2.7,.389,1.7,3.1,.529,.554,0.9,1.2,.758,0.6,1.3,1.9,2.4,0.6,0.0,0.7,1.6,7.4
Day'Ron Sharpe,23,C,50,2,18.1,3.3,6.3,.521,0.2,0.9,.244,3.1,5.4,.566,.538,1.1,1.5,.757,3.0,3.6,6.6,1.8,0.8,0.8,1.3,2.3,7.9
Maxwell Lewis,22,SF,21,1,14.2,2.0,4.9,.422,0.9,2.4,.380,1.1,2.5,.462,.515,0.3,0.5,.700,0.8,1.8,2.5,0.8,0.4,0.3,0.6,1.3,5.3
Reece Beekman,23,PG,34,4,13.7,1.0,3.1,.321,0.2,1.2,.175,0.8,1.9,.409,.354,0.5,0.6,.762,0.4,0.8,1.1,1.8,0.9,0.1,0.6,1.0,2.7
Dariq Whitehead,20,SF,20,0,12.3,2.0,4.8,.406,1.7,3.7,.446,0.3,1.1,.273,.578,0.2,0.3,.600,0.2,1.3,1.5,0.6,0.3,0.1,0.8,1.1,5.7
Cui Yongxi,21,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6
Jaylen Martin,21,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
