Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
62,12,2024-11-17,DEN,@,MEM,"L, 90-105",,24:30,6,13,.462,4,7,.571,2,6,.333,.615,3,4,.750,0,4,4,3,1,1,0,2,19,16.1,-11,Julian Strawther
63,13,2024-11-19,DEN,@,MEM,"W, 122-110",,20:25,2,7,.286,1,4,.250,1,3,.333,.357,1,2,.500,0,5,5,0,2,1,0,3,6,4.5,-6,Julian Strawther
64,14,2024-11-22,DEN,,DAL,"L, 120-123",,16:35,0,2,.000,0,0,,0,2,.000,.000,3,3,1.000,0,0,0,0,1,0,0,3,3,1.4,-1,Julian Strawther
65,15,2024-11-23,DEN,@,LAL,"W, 127-102",,19:20,2,3,.667,2,2,1.000,0,1,.000,1.000,0,0,,0,2,2,1,0,0,0,3,6,4.8,-12,Julian Strawther
66,16,2024-11-25,DEN,,NYK,"L, 118-145",,22:51,1,4,.250,0,1,.000,1,3,.333,.250,2,2,1.000,0,2,2,1,0,0,1,3,4,0.7,-20,Julian Strawther
67,17,2024-11-27,DEN,@,UTA,"W, 122-103",,15:06,2,4,.500,2,4,.500,0,0,,.750,3,4,.750,0,0,0,1,0,1,1,4,9,5.4,2,Julian Strawther
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Julian Strawther
68,18,2024-12-01,DEN,@,LAC,"L, 122-126",,18:58,6,7,.857,2,3,.667,4,4,1.000,1.000,1,1,1.000,1,1,2,2,0,0,1,2,15,13.1,-2,Julian Strawther
69,19,2024-12-03,DEN,,GSW,"W, 119-115",,19:56,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,0,1,1,3,1,0,1,1,5,2.9,-4,Julian Strawther
70,20,2024-12-05,DEN,@,CLE,"L, 114-126",,11:42,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,0,0,0,0,0,0,2,2,-1.2,-14,Julian Strawther
71,21,2024-12-07,DEN,@,WAS,"L, 113-122",,32:48,7,13,.538,2,5,.400,5,8,.625,.615,2,2,1.000,1,2,3,2,3,2,1,3,18,16.6,4,Julian Strawther
72,22,2024-12-08,DEN,@,ATL,"W, 141-111",,21:40,5,6,.833,3,4,.750,2,2,1.000,1.083,0,0,,0,2,2,3,0,0,3,3,13,9.3,-2,Julian Strawther
73,23,2024-12-13,DEN,,LAC,"W, 120-98",,25:33,3,6,.500,0,2,.000,3,4,.750,.500,6,7,.857,0,4,4,2,0,0,1,1,12,9.8,7,Julian Strawther
74,24,2024-12-16,DEN,@,SAC,"W, 130-129",,23:10,6,12,.500,1,4,.250,5,8,.625,.542,0,0,,0,4,4,1,0,1,0,1,13,9.2,-11,Julian Strawther
75,25,2024-12-19,DEN,@,POR,"L, 124-126",,09:47,2,4,.500,2,4,.500,0,0,,.750,0,0,,0,0,0,1,0,0,0,2,6,3.9,-17,Julian Strawther
76,26,2024-12-22,DEN,@,NOP,"W, 132-129 (OT)",,20:00,4,8,.500,1,5,.200,3,3,1.000,.563,4,4,1.000,0,1,1,1,0,1,0,2,13,9.9,20,Julian Strawther
77,27,2024-12-23,DEN,,PHO,"W, 117-90",,18:03,3,9,.333,3,7,.429,0,2,.000,.500,0,0,,1,1,2,1,1,0,0,1,9,6.2,7,Julian Strawther
78,28,2024-12-25,DEN,@,PHO,"L, 100-110",,17:37,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,1,2,1,0,0,0,3,5,3.5,-8,Julian Strawther
79,29,2024-12-27,DEN,,CLE,"L, 135-149",,23:11,4,7,.571,1,2,.500,3,5,.600,.643,2,2,1.000,0,2,2,0,0,0,2,0,11,6.3,6,Julian Strawther
80,30,2024-12-28,DEN,,DET,"W, 134-121",,22:33,3,9,.333,0,4,.000,3,5,.600,.333,0,0,,0,3,3,1,1,0,1,3,6,1.3,-5,Julian Strawther
81,31,2024-12-30,DEN,@,UTA,"W, 132-121",,17:49,1,5,.200,0,3,.000,1,2,.500,.200,2,2,1.000,1,1,2,1,1,0,1,2,4,1.8,5,Julian Strawther
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Julian Strawther
82,32,2025-01-01,DEN,,ATL,"W, 139-120",,30:06,6,12,.500,1,5,.200,5,7,.714,.542,0,0,,0,6,6,2,2,1,1,2,13,11.1,4,Julian Strawther
83,33,2025-01-03,DEN,,SAS,"L, 110-113",,22:57,4,7,.571,3,6,.500,1,1,1.000,.786,0,0,,0,1,1,1,1,0,0,2,11,8.9,1,Julian Strawther
84,34,2025-01-04,DEN,@,SAS,"W, 122-111 (OT)",,25:57,1,9,.111,1,5,.200,0,4,.000,.167,2,2,1.000,0,5,5,2,0,0,0,2,5,1.2,7,Julian Strawther
85,35,2025-01-07,DEN,,BOS,"L, 106-118",,26:55,8,15,.533,3,6,.500,5,9,.556,.633,0,0,,1,1,2,2,1,0,1,2,19,13.3,-3,Julian Strawther
