Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
1524,35,2025-01-05,LAL,@,HOU,"L, 115-119",*,36:03,8,16,.500,4,7,.571,4,9,.444,.625,1,2,.500,1,12,13,9,1,0,2,4,21,20.6,-13,LeBron James
1525,36,2025-01-07,LAL,@,DAL,"L, 97-118",*,34:52,6,12,.500,1,4,.250,5,8,.625,.542,5,6,.833,0,10,10,8,1,0,2,0,18,19.2,-12,LeBron James
1526,37,2025-01-13,LAL,,SAS,"L, 102-126",*,32:06,7,11,.636,2,3,.667,5,8,.625,.727,2,4,.500,1,4,5,8,1,1,7,3,18,13.3,-15,LeBron James
1527,38,2025-01-15,LAL,,MIA,"W, 117-108",*,38:09,9,15,.600,3,6,.500,6,9,.667,.700,1,2,.500,1,4,5,9,2,0,2,0,22,22.9,14,LeBron James
1528,39,2025-01-17,LAL,,BRK,"W, 102-101",*,34:56,12,17,.706,4,6,.667,8,11,.727,.824,1,2,.500,1,6,7,8,1,2,5,2,29,26.2,-11,LeBron James
1529,40,2025-01-19,LAL,@,LAC,"L, 102-116",*,35:03,9,20,.450,2,6,.333,7,14,.500,.500,5,6,.833,2,3,5,11,3,1,5,3,25,21.7,-3,LeBron James
1530,41,2025-01-21,LAL,,WAS,"W, 111-88",*,35:39,8,18,.444,2,6,.333,6,12,.500,.500,3,3,1.000,0,10,10,13,2,1,5,0,21,21.4,19,LeBron James
1531,42,2025-01-23,LAL,,BOS,"W, 117-96",*,30:31,9,20,.450,0,2,.000,9,18,.500,.450,2,2,1.000,3,11,14,6,0,0,2,0,20,17.2,7,LeBron James
1532,43,2025-01-25,LAL,@,GSW,"W, 118-108",*,34:40,12,25,.480,0,1,.000,12,24,.500,.480,1,2,.500,1,4,5,12,1,0,3,0,25,20.2,11,LeBron James
1533,44,2025-01-27,LAL,@,CHO,"W, 112-107",*,36:25,9,17,.529,1,8,.125,8,9,.889,.559,3,5,.600,0,7,7,8,0,0,5,0,22,15.6,-1,LeBron James
1534,45,2025-01-28,LAL,@,PHI,"L, 104-118",*,32:39,10,16,.625,1,4,.250,9,12,.750,.656,10,11,.909,1,7,8,9,1,0,8,1,31,25.1,-11,LeBron James
1535,46,2025-01-30,LAL,@,WAS,"W, 134-96",*,26:34,9,19,.474,1,4,.250,8,15,.533,.500,5,5,1.000,0,3,3,11,0,0,0,1,24,22.5,29,LeBron James
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LeBron James
1536,47,2025-02-01,LAL,@,NYK,"W, 128-112",*,36:49,14,26,.538,3,8,.375,11,18,.611,.596,2,4,.500,0,11,11,12,0,0,5,3,33,25.1,12,LeBron James
1537,48,2025-02-04,LAL,@,LAC,"W, 122-97",*,31:01,8,13,.615,2,4,.500,6,9,.667,.692,8,11,.727,0,8,8,9,3,0,3,4,26,26.0,19,LeBron James
1538,49,2025-02-06,LAL,,GSW,"W, 120-112",*,38:02,14,25,.560,6,9,.667,8,16,.500,.680,8,10,.800,1,16,17,8,1,1,3,1,42,38.7,7,LeBron James
,50,2025-02-08,LAL,,IND,"W, 124-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LeBron James
1539,51,2025-02-10,LAL,,UTA,"W, 132-113",*,29:00,10,17,.588,3,7,.429,7,10,.700,.676,1,2,.500,1,6,7,8,1,0,7,2,24,17.0,24,LeBron James
1540,52,2025-02-12,LAL,@,UTA,"L, 119-131",*,33:40,6,13,.462,4,8,.500,2,5,.400,.615,2,4,.500,1,5,6,7,1,0,3,3,18,14.4,-10,LeBron James
1541,53,2025-02-19,LAL,,CHO,"L, 97-100",*,37:54,10,22,.455,4,11,.364,6,11,.545,.545,2,2,1.000,1,6,7,11,1,2,2,0,26,25.2,-4,LeBron James
1542,54,2025-02-20,LAL,@,POR,"W, 110-102",*,35:42,14,24,.583,4,8,.500,10,16,.625,.667,8,8,1.000,0,8,8,4,2,1,11,2,40,24.9,8,LeBron James
1543,55,2025-02-22,LAL,@,DEN,"W, 123-100",*,33:02,11,19,.579,1,4,.250,10,15,.667,.605,2,3,.667,2,7,9,5,1,3,1,2,25,24.0,9,LeBron James
1544,56,2025-02-25,LAL,,DAL,"W, 107-99",*,37:04,11,17,.647,2,4,.500,9,13,.692,.706,3,4,.750,3,9,12,3,1,0,6,2,27,20.2,-5,LeBron James
1545,57,2025-02-27,LAL,,MIN,"W, 111-102",*,37:26,11,21,.524,4,9,.444,7,12,.583,.619,7,10,.700,5,12,17,6,1,1,4,1,33,30.1,12,LeBron James
1546,58,2025-02-28,LAL,,LAC,"W, 106-102",*,37:17,12,21,.571,2,7,.286,10,14,.714,.619,2,3,.667,1,12,13,3,1,0,4,0,28,21.1,-1,LeBron James
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LeBron James
1547,59,2025-03-02,LAL,,LAC,"W, 108-102",*,35:32,6,17,.353,1,6,.167,5,11,.455,.382,4,4,1.000,1,4,5,9,2,1,8,2,17,9.6,-5,LeBron James
