Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
247,16,2024-11-26,WAS,,CHI,"L, 108-127",,23:47,3,11,.273,1,8,.125,2,3,.667,.318,0,0,,0,4,4,1,0,1,4,2,7,-1.7,-11,Corey Kispert
248,17,2024-11-27,WAS,,LAC,"L, 96-121",,22:45,4,8,.500,1,4,.250,3,4,.750,.563,0,0,,0,4,4,1,2,0,1,1,9,7.5,-8,Corey Kispert
249,18,2024-11-30,WAS,@,MIL,"L, 114-124",,30:46,7,12,.583,2,4,.500,5,8,.625,.667,0,0,,3,5,8,0,0,0,0,4,16,12.4,-15,Corey Kispert
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Corey Kispert
250,19,2024-12-03,WAS,@,CLE,"L, 87-118",,09:02,1,4,.250,0,1,.000,1,3,.333,.250,2,2,1.000,0,2,2,2,0,1,0,1,4,3.9,3,Corey Kispert
,20,2024-12-05,WAS,,DAL,"L, 101-137",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,21,2024-12-07,WAS,,DEN,"W, 122-113",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,22,2024-12-08,WAS,,MEM,"L, 112-140",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,23,2024-12-13,WAS,@,CLE,"L, 105-115",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,24,2024-12-15,WAS,,BOS,"L, 98-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
251,25,2024-12-19,WAS,,CHO,"W, 123-114",,19:08,5,8,.625,3,5,.600,2,3,.667,.813,0,0,,0,4,4,2,0,1,2,1,13,10.3,5,Corey Kispert
252,26,2024-12-21,WAS,@,MIL,"L, 101-112",,25:52,5,8,.625,3,5,.600,2,3,.667,.813,3,3,1.000,0,2,2,1,0,1,0,1,16,14.0,-2,Corey Kispert
253,27,2024-12-23,WAS,@,OKC,"L, 105-123",,26:00,3,9,.333,2,6,.333,1,3,.333,.444,0,0,,1,2,3,3,0,0,1,4,8,3.7,-8,Corey Kispert
254,28,2024-12-26,WAS,,CHO,"W, 113-110",,30:18,5,9,.556,2,6,.333,3,3,1.000,.667,1,1,1.000,0,2,2,2,0,0,2,2,13,7.9,1,Corey Kispert
255,29,2024-12-28,WAS,,NYK,"L, 132-136 (OT)",,22:50,4,9,.444,1,6,.167,3,3,1.000,.500,2,2,1.000,1,2,3,2,1,0,1,0,11,9.0,-7,Corey Kispert
256,30,2024-12-30,WAS,,NYK,"L, 106-126",,23:09,6,10,.600,3,6,.500,3,4,.750,.750,1,2,.500,2,0,2,1,1,0,1,1,16,12.7,-6,Corey Kispert
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Corey Kispert
257,31,2025-01-01,WAS,,CHI,"W, 125-107",,29:11,5,12,.417,3,6,.500,2,6,.333,.542,0,0,,1,1,2,2,0,0,1,0,13,8.0,22,Corey Kispert
258,32,2025-01-03,WAS,@,NOP,"L, 120-132",,21:08,3,5,.600,2,3,.667,1,2,.500,.800,0,0,,1,1,2,1,0,0,1,4,8,4.8,-8,Corey Kispert
259,33,2025-01-05,WAS,,NOP,"L, 98-110",,26:22,1,10,.100,0,7,.000,1,3,.333,.100,3,3,1.000,0,1,1,0,0,1,1,2,5,-2.4,-20,Corey Kispert
260,34,2025-01-07,WAS,,HOU,"L, 112-135",,32:50,7,10,.700,5,7,.714,2,3,.667,.950,4,5,.800,2,2,4,3,0,0,1,1,23,21.1,-19,Corey Kispert
261,35,2025-01-08,WAS,@,PHI,"L, 103-109",,35:17,8,14,.571,4,8,.500,4,6,.667,.714,3,3,1.000,0,5,5,5,1,0,1,3,23,20.2,-3,Corey Kispert
262,36,2025-01-10,WAS,@,CHI,"L, 105-138",,22:24,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,0,1,1,3,0,0,1,1,0,-2.5,-9,Corey Kispert
263,37,2025-01-12,WAS,,OKC,"L, 95-136",,23:36,6,9,.667,3,5,.600,3,4,.750,.833,2,2,1.000,0,0,0,0,0,1,0,2,17,13.0,-21,Corey Kispert
264,38,2025-01-13,WAS,,MIN,"L, 106-120",,17:50,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,2,2,1,0,0,0,0,2,0.9,-2,Corey Kispert
265,39,2025-01-16,WAS,,PHO,"L, 123-130",,28:23,7,13,.538,0,3,.000,7,10,.700,.538,0,1,.000,1,2,3,5,1,0,2,1,14,10.7,15,Corey Kispert
266,40,2025-01-18,WAS,@,GSW,"L, 114-122",,30:28,4,8,.500,2,3,.667,2,5,.400,.625,0,0,,1,3,4,0,1,0,1,0,10,7.6,6,Corey Kispert
267,41,2025-01-19,WAS,@,SAC,"L, 100-123",,23:00,5,13,.385,2,7,.286,3,6,.500,.462,2,3,.667,2,1,3,1,1,0,0,1,14,9.5,-1,Corey Kispert
268,42,2025-01-21,WAS,@,LAL,"L, 88-111",,31:25,5,11,.455,3,7,.429,2,4,.500,.591,2,2,1.000,1,3,4,2,1,0,0,2,15,12.5,-10,Corey Kispert
269,43,2025-01-23,WAS,@,LAC,"L, 93-110",,23:23,0,3,.000,0,1,.000,0,2,.000,.000,1,1,1.000,2,2,4,2,2,0,1,0,1,3.3,-11,Corey Kispert
270,44,2025-01-25,WAS,@,PHO,"L, 109-119",,24:14,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,1,0,1,1,1,0,1,3,5,3.2,-13,Corey Kispert
271,45,2025-01-27,WAS,@,DAL,"L, 108-130",,29:39,4,10,.400,2,4,.500,2,6,.333,.500,5,5,1.000,0,2,2,0,0,0,1,0,15,9.2,-2,Corey Kispert
272,46,2025-01-29,WAS,,TOR,"L, 82-106",,23:44,4,11,.364,0,5,.000,4,6,.667,.364,0,0,,0,1,1,0,2,1,1,2,8,3.1,-4,Corey Kispert
273,47,2025-01-30,WAS,,LAL,"L, 96-134",,17:39,4,7,.571,1,4,.250,3,3,1.000,.643,2,2,1.000,2,1,3,0,1,1,0,2,11,10.3,-11,Corey Kispert
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Corey Kispert
274,48,2025-02-01,WAS,@,MIN,"W, 105-103",,28:16,3,8,.375,2,6,.333,1,2,.500,.500,0,0,,1,3,4,1,0,1,3,0,8,3.6,-4,Corey Kispert
275,49,2025-02-03,WAS,@,CHO,"W, 124-114",,28:35,9,13,.692,5,9,.556,4,4,1.000,.885,2,2,1.000,2,2,4,4,1,0,2,4,25,21.7,20,Corey Kispert
276,50,2025-02-05,WAS,@,BRK,"W, 119-102",,29:49,7,13,.538,3,6,.500,4,7,.571,.654,0,0,,0,2,2,3,0,0,1,4,17,10.8,2,Corey Kispert
277,51,2025-02-07,WAS,,CLE,"L, 124-134",,27:51,4,10,.400,2,5,.400,2,5,.400,.500,0,0,,3,1,4,0,0,0,1,0,10,6.0,-4,Corey Kispert
278,52,2025-02-08,WAS,,ATL,"L, 111-125",,34:40,6,13,.462,1,7,.143,5,6,.833,.500,0,0,,2,5,7,5,0,0,1,3,13,10.5,-1,Corey Kispert
279,53,2025-02-10,WAS,,SAS,"L, 121-131",,23:49,5,11,.455,3,8,.375,2,3,.667,.591,1,1,1.000,0,2,2,2,0,0,2,3,14,7.1,8,Corey Kispert
280,54,2025-02-12,WAS,,IND,"L, 130-134 (OT)",,26:46,8,10,.800,5,6,.833,3,4,.750,1.050,0,0,,0,4,4,0,0,0,1,1,21,17.0,3,Corey Kispert
281,55,2025-02-21,WAS,,MIL,"L, 101-104",,23:13,6,11,.545,4,7,.571,2,4,.500,.727,0,0,,0,2,2,2,0,0,2,1,16,10.3,0,Corey Kispert
282,56,2025-02-23,WAS,@,ORL,"L, 90-110",,28:48,3,12,.250,1,6,.167,2,6,.333,.292,2,3,.667,0,1,1,1,0,0,2,1,9,0.0,-20,Corey Kispert
283,57,2025-02-24,WAS,,BRK,"W, 107-99",,22:27,1,3,.333,0,2,.000,1,1,1.000,.333,2,2,1.000,1,2,3,3,0,0,2,2,4,2.9,-6,Corey Kispert
284,58,2025-02-26,WAS,,POR,"L, 121-129",,26:24,6,13,.462,5,6,.833,1,7,.143,.654,3,4,.750,0,3,3,1,0,1,0,5,20,13.2,-9,Corey Kispert
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Corey Kispert
285,59,2025-03-01,WAS,@,CHO,"W, 113-100",,24:59,5,8,.625,3,6,.500,2,2,1.000,.813,0,0,,0,5,5,4,0,1,3,0,13,11.4,17,Corey Kispert
286,60,2025-03-03,WAS,@,MIA,"L, 90-106",,21:22,3,8,.375,1,4,.250,2,4,.500,.438,1,1,1.000,0,2,2,0,0,0,1,2,8,2.4,-22,Corey Kispert
287,61,2025-03-05,WAS,,UTA,"W, 125-122",,23:03,1,6,.167,1,4,.250,0,2,.000,.250,3,5,.600,1,2,3,3,0,1,0,1,6,5.1,-1,Corey Kispert
288,62,2025-03-08,WAS,@,TOR,"W, 118-117",,27:26,4,7,.571,1,4,.250,3,3,1.000,.643,3,4,.750,0,1,1,1,0,0,0,0,12,9.3,-2,Corey Kispert
289,63,2025-03-10,WAS,@,TOR,"L, 104-119",,22:15,5,12,.417,3,8,.375,2,4,.500,.542,0,0,,0,1,1,2,0,1,0,2,13,8.2,5,Corey Kispert
290,64,2025-03-11,WAS,@,DET,"L, 103-123",,25:46,3,9,.333,1,6,.167,2,3,.667,.389,3,3,1.000,1,5,6,3,0,0,1,0,10,8.2,-5,Corey Kispert
291,65,2025-03-13,WAS,@,DET,"W, 129-125",,28:14,4,7,.571,2,5,.400,2,2,1.000,.714,4,4,1.000,0,2,2,2,0,0,1,4,14,10.1,3,Corey Kispert
292,66,2025-03-15,WAS,@,DEN,"W, 126-123",,15:02,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,2,2,1,0,0,0,0,4,2.6,-6,Corey Kispert
,67,2025-03-17,WAS,@,POR,"L, 97-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,68,2025-03-19,WAS,@,UTA,"L, 112-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,69,2025-03-21,WAS,,ORL,"L, 105-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,70,2025-03-22,WAS,@,NYK,"L, 103-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,71,2025-03-24,WAS,,TOR,"L, 104-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,72,2025-03-26,WAS,@,PHI,"W, 119-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,73,2025-03-27,WAS,,IND,"L, 109-162",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,74,2025-03-29,WAS,,BRK,"L, 112-115",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,75,2025-03-31,WAS,,MIA,"L, 94-120",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Corey Kispert
,76,2025-04-02,WAS,,SAC,"W, 116-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,77,2025-04-03,WAS,,ORL,"L, 97-109",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,78,2025-04-06,WAS,@,BOS,"L, 90-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,79,2025-04-08,WAS,@,IND,"L, 98-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,80,2025-04-09,WAS,,PHI,"L, 103-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,81,2025-04-11,WAS,@,CHI,"L, 89-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,82,2025-04-13,WAS,@,MIA,"W, 119-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Corey Kispert
,1,2024-10-24,SAC,,MIN,"L, 115-117",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
,2,2024-10-26,SAC,@,LAL,"L, 127-131",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
31,3,2024-10-28,SAC,,POR,"W, 111-98",,02:49,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,Colby Jones
32,4,2024-10-29,SAC,@,UTA,"W, 113-96",,03:36,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,1,0,0,-0.3,-3,Colby Jones
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Colby Jones
33,5,2024-11-01,SAC,@,ATL,"W, 123-115",,00:11,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3,Colby Jones
,6,2024-11-02,SAC,@,TOR,"L, 128-131 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
,7,2024-11-04,SAC,@,MIA,"W, 111-110",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
34,8,2024-11-06,SAC,,TOR,"W, 122-107",,01:08,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Colby Jones
,9,2024-11-08,SAC,,LAC,"L, 98-107",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
,10,2024-11-10,SAC,@,PHO,"W, 127-118 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
35,11,2024-11-11,SAC,@,SAS,"L, 96-116",,01:23,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,Colby Jones
36,12,2024-11-13,SAC,,PHO,"W, 127-104",,02:54,2,2,1.000,1,1,1.000,1,1,1.000,1.250,0,0,,0,0,0,0,0,0,0,1,5,4.0,4,Colby Jones
,13,2024-11-15,SAC,,MIN,"L, 126-130 (OT)",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
,14,2024-11-16,SAC,,UTA,"W, 121-117",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
37,15,2024-11-18,SAC,,ATL,"L, 108-109",,02:55,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,2,3,1,0,0,0,0,0,1.3,7,Colby Jones
38,16,2024-11-22,SAC,@,LAC,"L, 88-104",,06:08,2,3,.667,1,2,.500,1,1,1.000,.833,0,0,,0,0,0,0,0,0,0,1,5,3.3,-13,Colby Jones
39,17,2024-11-24,SAC,,BRK,"L, 103-108",,17:09,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,2,2,1,1,1,1,1,0,-0.5,-16,Colby Jones
40,18,2024-11-25,SAC,,OKC,"L, 109-130",,03:04,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,Colby Jones
,19,2024-11-27,SAC,@,MIN,"W, 115-104",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Colby Jones
41,20,2024-11-29,SAC,@,POR,"L, 106-115",,03:05,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,1,1,2,0,1,0,1,1,2,2.3,-5,Colby Jones
