Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
222,68,2025-03-18,CLE,@,LAC,"L, 119-132",,19:31,4,9,.444,0,4,.000,4,5,.800,.444,2,5,.400,0,0,0,4,0,0,0,0,10,6.9,-14,Ty Jerome
223,69,2025-03-19,CLE,@,SAC,"L, 119-123",,26:24,7,15,.467,0,5,.000,7,10,.700,.467,0,0,,1,0,1,6,1,0,2,1,14,9.8,-10,Ty Jerome
224,70,2025-03-21,CLE,@,PHO,"L, 112-123",,19:03,5,8,.625,2,5,.400,3,3,1.000,.750,4,4,1.000,1,0,1,5,2,1,2,1,16,16.9,-9,Ty Jerome
225,71,2025-03-23,CLE,@,UTA,"W, 120-91",,19:58,4,6,.667,3,4,.750,1,2,.500,.917,1,2,.500,1,2,3,3,1,0,0,2,12,12.6,-5,Ty Jerome
226,72,2025-03-25,CLE,@,POR,"W, 122-111",,20:54,9,15,.600,4,5,.800,5,10,.500,.733,3,3,1.000,0,2,2,3,0,0,0,1,25,20.4,5,Ty Jerome
,73,2025-03-27,CLE,,SAS,"W, 124-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
,74,2025-03-28,CLE,@,DET,"L, 122-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
,75,2025-03-30,CLE,,LAC,"W, 127-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Ty Jerome
,76,2025-04-02,CLE,,NYK,"W, 124-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
,77,2025-04-04,CLE,@,SAS,"W, 114-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
227,78,2025-04-06,CLE,,SAC,"L, 113-120",,23:04,9,13,.692,1,4,.250,8,9,.889,.731,1,1,1.000,1,3,4,2,1,0,3,0,20,15.5,-11,Ty Jerome
228,79,2025-04-08,CLE,,CHI,"W, 135-113",,21:23,7,11,.636,3,4,.750,4,7,.571,.773,1,1,1.000,0,0,0,5,0,0,2,3,18,13.4,15,Ty Jerome
229,80,2025-04-10,CLE,@,IND,"L, 112-114",*,25:43,9,16,.563,4,6,.667,5,10,.500,.688,2,2,1.000,1,1,2,6,0,1,2,1,24,19.9,13,Ty Jerome
,81,2025-04-11,CLE,@,NYK,"W, 108-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
,82,2025-04-13,CLE,,IND,"L, 118-126 (2OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Ty Jerome
103,1,2024-10-23,CLE,@,TOR,"W, 136-106",,16:04,2,4,.500,1,3,.333,1,1,1.000,.625,2,2,1.000,0,0,0,1,0,0,0,4,7,4.1,13,Sam Merrill
