Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
128,24,2024-12-08,POR,@,LAL,"L, 98-107",*,33:36,7,15,.467,2,6,.333,5,9,.556,.533,3,4,.750,0,6,6,3,0,0,3,3,19,10.6,-2,Shaedon Sharpe
129,25,2024-12-13,POR,,SAS,"L, 116-118",*,32:45,5,10,.500,1,4,.250,4,6,.667,.550,0,0,,0,4,4,2,0,1,2,2,11,6.5,6,Shaedon Sharpe
130,26,2024-12-15,POR,@,PHO,"L, 109-116",*,32:12,5,15,.333,1,8,.125,4,7,.571,.367,1,1,1.000,1,4,5,5,1,0,0,1,12,9.5,-2,Shaedon Sharpe
131,27,2024-12-19,POR,,DEN,"W, 126-124",*,28:42,9,18,.500,2,8,.250,7,10,.700,.556,7,8,.875,2,4,6,4,0,0,0,1,27,22.6,4,Shaedon Sharpe
132,28,2024-12-21,POR,@,SAS,"L, 94-114",*,30:31,11,16,.688,3,6,.500,8,10,.800,.781,0,1,.000,0,3,3,0,1,0,1,1,25,18.3,-20,Shaedon Sharpe
133,29,2024-12-23,POR,@,DAL,"L, 108-132",*,24:13,6,14,.429,1,4,.250,5,10,.500,.464,0,0,,0,2,2,3,3,0,1,1,13,9.9,-16,Shaedon Sharpe
134,30,2024-12-26,POR,,UTA,"W, 122-120",*,30:42,11,18,.611,5,10,.500,6,8,.750,.750,0,0,,0,5,5,3,0,2,0,2,27,23.0,7,Shaedon Sharpe
135,31,2024-12-28,POR,,DAL,"W, 126-122",*,38:03,9,18,.500,2,4,.500,7,14,.500,.556,3,3,1.000,1,4,5,4,1,0,0,3,23,18.5,17,Shaedon Sharpe
136,32,2024-12-30,POR,,PHI,"L, 103-125",*,34:14,5,14,.357,1,8,.125,4,6,.667,.393,1,2,.500,0,1,1,1,0,0,3,3,12,0.6,-25,Shaedon Sharpe
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Shaedon Sharpe
137,33,2025-01-02,POR,@,LAL,"L, 106-114",*,36:54,6,16,.375,1,5,.200,5,11,.455,.406,6,8,.750,0,5,5,1,1,0,3,2,19,8.8,-7,Shaedon Sharpe
138,34,2025-01-04,POR,@,MIL,"W, 105-102",*,31:46,7,15,.467,2,7,.286,5,8,.625,.533,0,2,.000,1,3,4,3,1,0,1,1,16,10.8,1,Shaedon Sharpe
139,35,2025-01-06,POR,@,DET,"L, 115-118",*,43:09,8,17,.471,3,7,.429,5,10,.500,.559,1,1,1.000,1,7,8,8,2,1,1,3,20,20.2,1,Shaedon Sharpe
140,36,2025-01-08,POR,@,NOP,"W, 119-100",*,33:18,8,13,.615,4,7,.571,4,6,.667,.769,1,1,1.000,0,1,1,2,1,0,2,0,21,15.8,28,Shaedon Sharpe
141,37,2025-01-09,POR,@,DAL,"L, 111-117",*,32:23,8,19,.421,3,6,.500,5,13,.385,.500,3,3,1.000,2,6,8,3,2,1,3,5,22,14.9,-15,Shaedon Sharpe
142,38,2025-01-11,POR,,MIA,"L, 98-119",*,37:21,7,20,.350,3,8,.375,4,12,.333,.425,5,6,.833,0,3,3,5,0,1,6,2,22,8.7,-18,Shaedon Sharpe
143,39,2025-01-14,POR,,BRK,"L, 114-132",*,34:32,9,17,.529,1,5,.200,8,12,.667,.559,2,2,1.000,0,2,2,2,1,0,2,1,21,13.3,-11,Shaedon Sharpe
144,40,2025-01-16,POR,,LAC,"L, 89-118",*,22:52,5,11,.455,1,3,.333,4,8,.500,.500,1,1,1.000,2,2,4,4,1,0,3,3,12,7.9,-20,Shaedon Sharpe
145,41,2025-01-18,POR,,HOU,"L, 103-125",*,27:58,5,14,.357,2,6,.333,3,8,.375,.429,1,1,1.000,3,5,8,1,0,0,4,1,13,5.1,-18,Shaedon Sharpe
146,42,2025-01-19,POR,,CHI,"W, 113-102",,33:25,8,18,.444,2,7,.286,6,11,.545,.500,5,6,.833,0,4,4,3,0,0,3,2,23,12.7,2,Shaedon Sharpe
147,43,2025-01-21,POR,@,MIA,"W, 116-107",,27:36,4,9,.444,2,6,.333,2,3,.667,.556,2,2,1.000,0,5,5,4,0,0,1,2,12,9.8,4,Shaedon Sharpe
148,44,2025-01-23,POR,@,ORL,"W, 101-79",,24:28,3,11,.273,1,4,.250,2,7,.286,.318,0,0,,0,4,4,0,1,0,4,1,7,-1.7,8,Shaedon Sharpe
149,45,2025-01-24,POR,@,CHO,"W, 102-97",,31:29,5,13,.385,1,6,.167,4,7,.571,.423,2,3,.667,1,8,9,0,0,0,2,6,13,4.2,-10,Shaedon Sharpe
150,46,2025-01-26,POR,,OKC,"L, 108-118",,19:09,3,10,.300,2,4,.500,1,6,.167,.400,2,4,.500,1,1,2,0,0,1,1,1,10,3.7,-28,Shaedon Sharpe
151,47,2025-01-28,POR,,MIL,"W, 125-112",,30:51,6,14,.429,3,7,.429,3,7,.429,.536,2,2,1.000,1,4,5,3,2,0,1,3,17,13.4,10,Shaedon Sharpe
152,48,2025-01-30,POR,,ORL,"W, 119-90",,32:47,9,14,.643,3,6,.500,6,8,.750,.750,2,2,1.000,1,1,2,2,1,0,1,2,23,18.4,26,Shaedon Sharpe
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Shaedon Sharpe
153,49,2025-02-01,POR,,PHO,"W, 127-108",,25:13,5,12,.417,3,5,.600,2,7,.286,.542,3,4,.750,0,1,1,0,1,0,2,3,16,7.3,15,Shaedon Sharpe
154,50,2025-02-03,POR,,PHO,"W, 121-119 (OT)",,19:11,2,5,.400,1,4,.250,1,1,1.000,.500,4,4,1.000,0,1,1,2,0,0,1,0,9,7.0,-11,Shaedon Sharpe
155,51,2025-02-04,POR,,IND,"W, 112-89",,24:04,6,17,.353,1,7,.143,5,10,.500,.382,4,4,1.000,1,3,4,1,3,0,1,0,17,11.8,8,Shaedon Sharpe
156,52,2025-02-06,POR,,SAC,"W, 108-102",,31:08,9,18,.500,3,9,.333,6,9,.667,.583,3,4,.750,0,4,4,1,0,0,2,0,24,14.5,11,Shaedon Sharpe
