Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
756,30,2024-12-25,DAL,,MIN,"L, 99-105",*,37:15,14,27,.519,5,14,.357,9,13,.692,.611,6,6,1.000,1,4,5,2,0,1,2,1,39,27.3,-4,Kyrie Irving
757,31,2024-12-27,DAL,@,PHO,"W, 98-89",*,39:38,6,21,.286,5,10,.500,1,11,.091,.405,3,3,1.000,0,4,4,5,1,0,5,4,20,6.8,12,Kyrie Irving
758,32,2024-12-28,DAL,@,POR,"L, 122-126",*,38:38,16,26,.615,5,12,.417,11,14,.786,.712,9,9,1.000,1,1,2,2,2,1,4,1,46,34.9,-17,Kyrie Irving
,33,2024-12-30,DAL,@,SAC,"L, 100-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kyrie Irving
759,34,2025-01-01,DAL,@,HOU,"L, 99-110",*,37:15,7,13,.538,0,2,.000,7,11,.636,.538,2,3,.667,0,7,7,2,3,2,4,4,16,11.6,-16,Kyrie Irving
,35,2025-01-03,DAL,,CLE,"L, 122-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,36,2025-01-06,DAL,@,MEM,"L, 104-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,37,2025-01-07,DAL,,LAL,"W, 118-97",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,38,2025-01-09,DAL,,POR,"W, 117-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,39,2025-01-12,DAL,,DEN,"L, 101-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
760,40,2025-01-14,DAL,,DEN,"L, 99-118",*,30:20,4,18,.222,0,3,.000,4,15,.267,.222,3,4,.750,1,3,4,2,4,1,1,1,11,5.9,-17,Kyrie Irving
,41,2025-01-15,DAL,@,NOP,"L, 116-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
761,42,2025-01-17,DAL,,OKC,"W, 106-98",*,38:55,9,19,.474,3,8,.375,6,11,.545,.553,4,4,1.000,1,4,5,5,1,0,3,2,25,17.9,13,Kyrie Irving
762,43,2025-01-20,DAL,@,CHO,"L, 105-110",*,40:35,11,24,.458,3,8,.375,8,16,.500,.521,8,9,.889,3,1,4,3,3,0,4,0,33,23.7,-5,Kyrie Irving
763,44,2025-01-22,DAL,,MIN,"L, 114-115",*,38:13,12,21,.571,4,11,.364,8,10,.800,.667,8,8,1.000,0,4,4,9,0,0,3,3,36,29.4,-8,Kyrie Irving
764,45,2025-01-23,DAL,@,OKC,"W, 121-115",*,39:12,8,17,.471,4,8,.500,4,9,.444,.588,4,4,1.000,0,3,3,4,2,0,2,4,24,17.4,16,Kyrie Irving
765,46,2025-01-25,DAL,,BOS,"L, 107-122",*,41:56,11,23,.478,0,3,.000,11,20,.550,.478,0,0,,0,4,4,5,0,1,3,1,22,12.3,-9,Kyrie Irving
766,47,2025-01-27,DAL,,WAS,"W, 130-108",*,27:58,4,9,.444,2,6,.333,2,3,.667,.556,3,4,.750,0,5,5,5,0,0,1,3,13,10.7,23,Kyrie Irving
767,48,2025-01-29,DAL,@,NOP,"W, 137-136",*,39:23,10,21,.476,3,9,.333,7,12,.583,.548,2,3,.667,5,4,9,6,1,0,2,0,25,21.8,2,Kyrie Irving
768,49,2025-01-31,DAL,@,DET,"L, 102-117",*,37:23,9,23,.391,3,10,.300,6,13,.462,.457,7,7,1.000,1,5,6,3,1,0,3,0,28,17.8,-14,Kyrie Irving
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kyrie Irving
,50,2025-02-02,DAL,@,CLE,"L, 101-144",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
769,51,2025-02-04,DAL,@,PHI,"L, 116-118",*,41:51,11,21,.524,2,8,.250,9,13,.692,.571,10,11,.909,3,6,9,4,1,1,3,2,34,27.9,-8,Kyrie Irving
770,52,2025-02-06,DAL,@,BOS,"W, 127-120",*,39:51,7,17,.412,3,6,.500,4,11,.364,.500,2,2,1.000,2,1,3,4,4,0,3,2,19,14.6,0,Kyrie Irving
771,53,2025-02-08,DAL,,HOU,"W, 116-105",*,41:36,4,15,.267,0,4,.000,4,11,.364,.267,5,6,.833,2,0,2,6,2,2,1,1,13,11.3,6,Kyrie Irving
772,54,2025-02-10,DAL,,SAC,"L, 128-129 (OT)",*,43:46,11,25,.440,2,7,.286,9,18,.500,.480,6,7,.857,2,7,9,7,3,0,1,3,30,25.7,-7,Kyrie Irving
773,55,2025-02-12,DAL,,GSW,"W, 111-107",*,39:59,15,25,.600,7,10,.700,8,15,.533,.740,5,5,1.000,1,6,7,0,1,0,3,2,42,30.2,8,Kyrie Irving
,56,2025-02-13,DAL,,MIA,"W, 118-113",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
774,57,2025-02-21,DAL,,NOP,"W, 111-103",*,37:14,11,22,.500,5,12,.417,6,10,.600,.614,8,8,1.000,0,2,2,4,0,1,1,3,35,25.9,5,Kyrie Irving
775,58,2025-02-23,DAL,@,GSW,"L, 102-126",*,31:52,7,18,.389,1,6,.167,6,12,.500,.417,2,2,1.000,2,3,5,4,1,2,0,3,17,13.5,-20,Kyrie Irving
776,59,2025-02-25,DAL,@,LAL,"L, 99-107",*,39:50,12,27,.444,5,11,.455,7,16,.438,.537,6,6,1.000,1,6,7,4,3,2,4,1,35,26.2,-10,Kyrie Irving
777,60,2025-02-27,DAL,,CHO,"W, 103-96",*,38:28,11,24,.458,2,9,.222,9,15,.600,.500,1,1,1.000,1,8,9,5,2,2,2,3,25,19.4,21,Kyrie Irving
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Kyrie Irving
778,61,2025-03-01,DAL,,MIL,"L, 117-132",*,38:26,9,23,.391,2,9,.222,7,14,.500,.435,11,11,1.000,4,1,5,3,1,0,2,1,31,22.3,-11,Kyrie Irving
779,62,2025-03-03,DAL,,SAC,"L, 98-122",*,09:25,2,4,.500,0,0,,2,4,.500,.500,3,3,1.000,0,1,1,1,0,0,1,0,7,5.0,-6,Kyrie Irving
,63,2025-03-05,DAL,@,MIL,"L, 107-137",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,64,2025-03-07,DAL,,MEM,"L, 111-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,65,2025-03-09,DAL,,PHO,"L, 116-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,66,2025-03-10,DAL,@,SAS,"W, 133-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,67,2025-03-12,DAL,@,SAS,"L, 116-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
,68,2025-03-14,DAL,@,HOU,"L, 96-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Kyrie Irving
