Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
674,74,2025-03-28,PHO,@,MIN,"L, 109-124",,18:40,4,8,.500,0,2,.000,4,6,.667,.500,0,0,,2,2,4,4,0,0,1,0,8,7.8,0,Tyus Jones
675,75,2025-03-30,PHO,,HOU,"L, 109-148",,14:52,2,9,.222,1,5,.200,1,4,.250,.278,0,0,,0,1,1,3,0,0,1,0,5,0.9,-11,Tyus Jones
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Tyus Jones
676,76,2025-04-01,PHO,@,MIL,"L, 123-133",,26:39,6,8,.750,4,6,.667,2,2,1.000,1.000,0,0,,0,2,2,2,0,0,0,0,16,14.8,1,Tyus Jones
677,77,2025-04-04,PHO,@,BOS,"L, 103-123",,20:12,5,9,.556,2,4,.500,3,5,.600,.667,0,0,,0,1,1,6,2,0,0,1,12,13.8,-4,Tyus Jones
678,78,2025-04-06,PHO,@,NYK,"L, 98-112",,19:57,1,5,.200,1,5,.200,0,0,,.300,2,2,1.000,1,3,4,2,1,0,1,0,5,4.9,-8,Tyus Jones
679,79,2025-04-08,PHO,,GSW,"L, 95-133",,15:38,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,0,1,1,3,1,0,0,0,2,2.3,-13,Tyus Jones
680,80,2025-04-09,PHO,,OKC,"L, 112-125",,15:26,4,8,.500,2,4,.500,2,4,.500,.625,0,0,,0,3,3,2,1,0,0,1,10,8.9,-7,Tyus Jones
681,81,2025-04-11,PHO,,SAS,"W, 117-98",,15:59,2,8,.250,2,5,.400,0,3,.000,.375,0,0,,0,3,3,2,1,1,1,0,6,4.2,1,Tyus Jones
682,82,2025-04-13,PHO,@,SAC,"L, 98-109",*,25:55,7,13,.538,3,7,.429,4,6,.667,.654,0,0,,0,2,2,4,1,0,1,0,17,14.1,1,Tyus Jones
526,1,2024-10-23,PHO,@,LAC,"W, 116-113 (OT)",,24:13,2,5,.400,1,3,.333,1,2,.500,.500,0,0,,1,4,5,1,1,1,3,1,5,3.2,14,Royce O'Neale
527,2,2024-10-25,PHO,@,LAL,"L, 116-123",,27:56,2,5,.400,1,3,.333,1,2,.500,.500,2,2,1.000,0,4,4,4,1,0,2,3,7,6.1,14,Royce O'Neale
528,3,2024-10-26,PHO,,DAL,"W, 114-102",,26:31,2,6,.333,1,5,.200,1,1,1.000,.417,2,2,1.000,2,7,9,4,0,1,0,2,7,9.8,18,Royce O'Neale
529,4,2024-10-28,PHO,,LAL,"W, 109-105",,24:44,4,9,.444,2,4,.500,2,5,.400,.556,2,2,1.000,2,7,9,4,0,2,1,4,12,12.4,25,Royce O'Neale
530,5,2024-10-31,PHO,@,LAC,"W, 125-119",,28:37,7,8,.875,5,6,.833,2,2,1.000,1.188,2,2,1.000,1,6,7,1,1,1,0,3,21,21.9,-7,Royce O'Neale
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Royce O'Neale
531,6,2024-11-02,PHO,,POR,"W, 103-97",,22:56,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,1,6,7,3,1,1,1,1,3,4.1,0,Royce O'Neale
532,7,2024-11-04,PHO,,PHI,"W, 118-116",,23:40,6,9,.667,3,4,.750,3,5,.600,.833,0,0,,3,2,5,0,1,1,0,3,15,14.3,-2,Royce O'Neale
533,8,2024-11-06,PHO,,MIA,"W, 115-112",,22:48,2,6,.333,2,4,.500,0,2,.000,.500,0,0,,3,4,7,2,1,1,1,2,6,7.2,-2,Royce O'Neale
534,9,2024-11-08,PHO,@,DAL,"W, 114-113",,29:07,7,8,.875,4,4,1.000,3,4,.750,1.125,0,1,.000,1,4,5,2,0,0,0,2,18,17.3,14,Royce O'Neale
535,10,2024-11-10,PHO,,SAC,"L, 118-127 (OT)",,28:22,3,14,.214,2,7,.286,1,7,.143,.286,0,0,,2,7,9,2,1,1,1,4,8,3.4,-16,Royce O'Neale
536,11,2024-11-12,PHO,@,UTA,"W, 120-112",,23:40,2,8,.250,2,6,.333,0,2,.000,.375,3,4,.750,1,2,3,2,1,3,1,2,9,7.8,2,Royce O'Neale
537,12,2024-11-13,PHO,@,SAC,"L, 104-127",*,21:55,2,12,.167,1,6,.167,1,6,.167,.208,0,0,,1,4,5,4,1,0,1,2,5,1.3,-6,Royce O'Neale
538,13,2024-11-15,PHO,@,OKC,"L, 83-99",,22:04,4,10,.400,2,6,.333,2,4,.500,.500,1,2,.500,3,4,7,3,1,0,0,2,11,10.8,-19,Royce O'Neale
