Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
96,26,2024-12-16,CHO,,PHI,"L, 108-121",*,31:12,4,9,.444,2,7,.286,2,2,1.000,.556,2,3,.667,0,4,4,4,0,1,2,2,12,8.8,-3,Brandon Miller
,27,2024-12-19,CHO,@,WAS,"L, 114-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,28,2024-12-20,CHO,@,PHI,"L, 98-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,29,2024-12-23,CHO,,HOU,"L, 101-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
97,30,2024-12-26,CHO,@,WAS,"L, 110-113",*,36:22,6,21,.286,4,12,.333,2,9,.222,.381,2,2,1.000,0,3,3,9,1,0,1,3,18,11.7,6,Brandon Miller
,31,2024-12-28,CHO,,OKC,"L, 94-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,32,2024-12-30,CHO,,CHI,"L, 108-115 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Miller
,33,2025-01-03,CHO,@,DET,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
98,34,2025-01-05,CHO,@,CLE,"L, 105-115",*,31:40,8,14,.571,6,10,.600,2,4,.500,.786,2,3,.667,1,1,2,2,0,1,1,2,24,18.3,-27,Brandon Miller
99,35,2025-01-07,CHO,,PHO,"W, 115-104",*,32:35,5,16,.313,3,12,.250,2,4,.500,.406,0,0,,0,3,3,2,1,1,4,3,13,2.6,0,Brandon Miller
100,36,2025-01-12,CHO,@,PHO,"L, 113-120",*,33:20,6,16,.375,3,8,.375,3,8,.375,.469,4,4,1.000,1,3,4,6,0,0,1,4,19,13.4,-3,Brandon Miller
101,37,2025-01-15,CHO,@,UTA,"W, 117-112",*,33:03,8,18,.444,3,10,.300,5,8,.625,.528,1,4,.250,2,3,5,3,3,1,5,2,20,11.7,12,Brandon Miller
,38,2025-01-17,CHO,@,CHI,"W, 125-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,39,2025-01-20,CHO,,DAL,"W, 110-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,40,2025-01-22,CHO,@,MEM,"L, 120-132",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,41,2025-01-24,CHO,,POR,"L, 97-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,42,2025-01-25,CHO,,NOP,"W, 123-92",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,43,2025-01-27,CHO,,LAL,"L, 107-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,44,2025-01-29,CHO,,BRK,"L, 83-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,45,2025-01-31,CHO,,LAC,"L, 104-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Miller
,46,2025-02-01,CHO,,DEN,"L, 104-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,47,2025-02-03,CHO,,WAS,"L, 114-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,48,2025-02-05,CHO,,MIL,"L, 102-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,49,2025-02-07,CHO,,SAS,"W, 117-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,50,2025-02-09,CHO,@,DET,"L, 102-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,51,2025-02-10,CHO,@,BRK,"L, 89-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,52,2025-02-12,CHO,@,ORL,"L, 86-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,53,2025-02-19,CHO,@,LAL,"W, 100-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,54,2025-02-20,CHO,@,DEN,"L, 115-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,55,2025-02-22,CHO,@,POR,"L, 88-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,56,2025-02-24,CHO,@,SAC,"L, 88-130",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,57,2025-02-25,CHO,@,GSW,"L, 92-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,58,2025-02-27,CHO,@,DAL,"L, 96-103",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Miller
,59,2025-03-01,CHO,,WAS,"L, 100-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,60,2025-03-03,CHO,,GSW,"L, 101-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,61,2025-03-05,CHO,,MIN,"L, 110-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,62,2025-03-07,CHO,,CLE,"L, 117-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,63,2025-03-08,CHO,,BRK,"W, 105-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,64,2025-03-10,CHO,@,MIA,"W, 105-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,65,2025-03-12,CHO,@,ATL,"L, 110-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,66,2025-03-14,CHO,@,SAS,"W, 145-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,67,2025-03-16,CHO,@,LAC,"L, 88-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,68,2025-03-18,CHO,,ATL,"L, 102-134",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,69,2025-03-20,CHO,,NYK,"W, 115-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,70,2025-03-21,CHO,@,OKC,"L, 106-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,71,2025-03-23,CHO,@,MIA,"L, 105-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,72,2025-03-25,CHO,,ORL,"L, 104-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,73,2025-03-28,CHO,@,TOR,"L, 97-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,74,2025-03-30,CHO,@,NOP,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,75,2025-03-31,CHO,,UTA,"W, 110-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Brandon Miller
,76,2025-04-02,CHO,@,IND,"L, 105-119",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,77,2025-04-04,CHO,,SAC,"L, 102-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,78,2025-04-06,CHO,,CHI,"L, 117-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,79,2025-04-08,CHO,,MEM,"L, 100-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,80,2025-04-09,CHO,@,TOR,"L, 96-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,81,2025-04-11,CHO,@,BOS,"L, 94-130",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
,82,2025-04-13,CHO,@,BOS,"L, 86-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Brandon Miller
185,1,2024-10-23,CHO,@,HOU,"W, 110-105",*,37:55,10,20,.500,4,12,.333,6,8,.750,.600,10,10,1.000,1,7,8,11,1,1,2,3,34,33.0,14,LaMelo Ball
186,2,2024-10-25,CHO,@,ATL,"L, 120-125",*,28:43,10,20,.500,9,14,.643,1,6,.167,.725,5,6,.833,1,4,5,4,1,1,10,6,34,17.6,-6,LaMelo Ball
187,3,2024-10-26,CHO,,MIA,"L, 106-114",*,36:31,9,22,.409,2,10,.200,7,12,.583,.455,7,8,.875,2,6,8,7,1,0,5,5,27,16.9,-3,LaMelo Ball
188,4,2024-10-30,CHO,,TOR,"W, 138-133",*,32:24,7,20,.350,4,12,.333,3,8,.375,.450,1,1,1.000,0,3,3,6,2,0,6,4,19,7.3,8,LaMelo Ball
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LaMelo Ball
189,5,2024-11-01,CHO,,BOS,"L, 109-124",*,31:08,12,25,.480,5,14,.357,7,11,.636,.580,2,3,.667,0,2,2,4,1,0,4,6,31,15.9,-17,LaMelo Ball
190,6,2024-11-02,CHO,,BOS,"L, 103-113",*,37:08,15,26,.577,6,12,.500,9,14,.643,.692,0,0,,2,2,4,6,3,0,6,6,36,24.6,-1,LaMelo Ball
191,7,2024-11-04,CHO,@,MIN,"L, 93-114",*,24:36,6,15,.400,2,8,.250,4,7,.571,.467,5,7,.714,0,2,2,2,1,0,5,3,19,6.9,-3,LaMelo Ball
192,8,2024-11-06,CHO,,DET,"W, 108-107",*,31:59,10,23,.435,5,12,.417,5,11,.455,.543,0,0,,2,4,6,8,2,0,2,3,25,19.9,-2,LaMelo Ball
193,9,2024-11-08,CHO,,IND,"W, 103-83",*,33:14,10,29,.345,5,18,.278,5,11,.455,.431,6,8,.750,1,6,7,6,1,1,1,2,31,20.5,-8,LaMelo Ball
194,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",*,40:31,13,30,.433,6,18,.333,7,12,.583,.533,6,7,.857,1,3,4,8,2,0,6,3,38,23.8,3,LaMelo Ball
195,11,2024-11-12,CHO,@,ORL,"L, 89-114",*,35:07,13,27,.481,6,14,.429,7,13,.538,.593,3,3,1.000,1,5,6,7,0,0,3,3,35,24.2,-12,LaMelo Ball
196,12,2024-11-16,CHO,,MIL,"W, 115-114",*,36:20,7,20,.350,1,7,.143,6,13,.462,.375,11,11,1.000,2,7,9,6,0,0,2,4,26,18.9,12,LaMelo Ball
197,13,2024-11-17,CHO,@,CLE,"L, 114-128",*,35:18,11,29,.379,5,15,.333,6,14,.429,.466,4,4,1.000,0,1,1,12,1,0,5,5,31,17.8,-7,LaMelo Ball
198,14,2024-11-19,CHO,@,BRK,"L, 115-116",*,23:57,3,13,.231,3,8,.375,0,5,.000,.346,3,3,1.000,1,1,2,5,1,0,4,4,12,4.0,-10,LaMelo Ball
199,15,2024-11-21,CHO,,DET,"W, 123-121 (OT)",*,32:37,12,27,.444,4,14,.286,8,13,.615,.519,7,8,.875,1,5,6,9,1,0,2,6,35,25.6,12,LaMelo Ball
200,16,2024-11-23,CHO,@,MIL,"L, 119-125",*,39:41,17,38,.447,6,17,.353,11,21,.524,.526,10,13,.769,0,5,5,10,1,0,4,3,50,33.3,7,LaMelo Ball
201,17,2024-11-25,CHO,,ORL,"L, 84-95",*,39:43,17,30,.567,4,11,.364,13,19,.684,.633,6,8,.750,0,9,9,7,1,1,7,4,44,29.7,-2,LaMelo Ball
202,18,2024-11-27,CHO,,MIA,"L, 94-98",*,36:52,11,35,.314,7,20,.350,4,15,.267,.414,3,5,.600,2,8,10,7,0,0,7,3,32,11.6,-2,LaMelo Ball
,19,2024-11-29,CHO,,NYK,"L, 98-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,20,2024-11-30,CHO,,ATL,"L, 104-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,LaMelo Ball
,21,2024-12-03,CHO,,PHI,"L, 104-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,22,2024-12-05,CHO,@,NYK,"L, 101-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
,23,2024-12-07,CHO,,CLE,"L, 102-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,LaMelo Ball
