Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
271,53,2025-02-19,CHO,@,LAL,"W, 100-97",*,33:46,2,6,.333,0,3,.000,2,3,.667,.333,0,0,,1,2,3,1,2,0,4,3,4,-0.6,0,Josh Green
272,54,2025-02-20,CHO,@,DEN,"L, 115-129",*,27:24,7,13,.538,5,8,.625,2,5,.400,.731,0,0,,0,3,3,2,1,0,1,2,19,14.2,1,Josh Green
273,55,2025-02-22,CHO,@,POR,"L, 88-141",*,23:22,1,6,.167,1,5,.200,0,1,.000,.250,1,1,1.000,1,1,2,2,2,0,2,2,4,1.8,-19,Josh Green
274,56,2025-02-24,CHO,@,SAC,"L, 88-130",*,25:02,1,5,.200,0,3,.000,1,2,.500,.200,1,2,.500,0,0,0,1,2,0,2,2,3,-0.6,-14,Josh Green
275,57,2025-02-25,CHO,@,GSW,"L, 92-128",*,24:42,2,4,.500,2,3,.667,0,1,.000,.750,0,0,,0,1,1,3,1,1,0,0,6,8.1,-14,Josh Green
276,58,2025-02-27,CHO,@,DAL,"L, 96-103",*,35:44,2,6,.333,2,5,.400,0,1,.000,.500,1,2,.500,0,2,2,2,0,0,0,3,7,4.0,-7,Josh Green
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Josh Green
277,59,2025-03-01,CHO,,WAS,"L, 100-113",*,32:09,5,10,.500,3,6,.500,2,4,.500,.650,0,2,.000,2,2,4,5,3,1,0,2,13,15.6,-10,Josh Green
278,60,2025-03-03,CHO,,GSW,"L, 101-119",*,26:05,0,3,.000,0,2,.000,0,1,.000,.000,2,3,.667,0,1,1,0,0,0,0,2,2,-1.0,-16,Josh Green
,61,2025-03-05,CHO,,MIN,"L, 110-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
279,62,2025-03-07,CHO,,CLE,"L, 117-118",*,30:06,1,4,.250,0,3,.000,1,1,1.000,.250,1,2,.500,0,3,3,1,1,0,2,2,3,0.0,-4,Josh Green
280,63,2025-03-08,CHO,,BRK,"W, 105-102",*,25:11,0,5,.000,0,4,.000,0,1,.000,.000,0,0,,2,2,4,5,0,0,1,3,0,-0.2,-2,Josh Green
281,64,2025-03-10,CHO,@,MIA,"W, 105-102",*,31:38,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,2,4,6,2,1,0,1,2,3,3.8,15,Josh Green
282,65,2025-03-12,CHO,@,ATL,"L, 110-123",*,30:02,1,5,.200,0,1,.000,1,4,.250,.200,0,0,,1,2,3,0,2,0,1,3,2,0.0,-6,Josh Green
283,66,2025-03-14,CHO,@,SAS,"W, 145-134",*,28:22,7,11,.636,6,9,.667,1,2,.500,.909,0,0,,1,0,1,3,4,0,0,1,20,21.5,7,Josh Green
284,67,2025-03-16,CHO,@,LAC,"L, 88-123",*,27:13,3,8,.375,0,4,.000,3,4,.750,.375,2,2,1.000,1,0,1,2,1,1,0,2,8,6.6,-27,Josh Green
285,68,2025-03-18,CHO,,ATL,"L, 102-134",*,19:42,1,6,.167,0,3,.000,1,3,.333,.167,0,0,,0,2,2,3,0,0,3,2,2,-2.9,-24,Josh Green
286,69,2025-03-20,CHO,,NYK,"W, 115-98",*,21:10,2,5,.400,1,4,.250,1,1,1.000,.500,0,0,,0,0,0,1,0,0,1,5,5,0.0,8,Josh Green
287,70,2025-03-21,CHO,@,OKC,"L, 106-141",*,24:44,5,10,.500,2,5,.400,3,5,.600,.600,0,0,,0,1,1,2,1,0,3,1,12,6.3,-16,Josh Green
,71,2025-03-23,CHO,@,MIA,"L, 105-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
288,72,2025-03-25,CHO,,ORL,"L, 104-111",*,21:21,4,5,.800,3,4,.750,1,1,1.000,1.100,2,3,.667,0,0,0,0,1,0,0,1,13,11.3,3,Josh Green
289,73,2025-03-28,CHO,@,TOR,"L, 97-108",*,22:33,2,7,.286,0,3,.000,2,4,.500,.286,1,1,1.000,0,2,2,1,1,1,3,0,5,0.9,-8,Josh Green
,74,2025-03-30,CHO,@,NOP,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
290,75,2025-03-31,CHO,,UTA,"W, 110-106",*,25:40,4,5,.800,3,3,1.000,1,2,.500,1.100,3,4,.750,1,1,2,3,0,0,1,3,14,12.6,8,Josh Green
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Josh Green
291,76,2025-04-02,CHO,@,IND,"L, 105-119",*,08:08,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,0,1,1,1,0,0,2,0,3,-0.4,-6,Josh Green
,77,2025-04-04,CHO,,SAC,"L, 102-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,78,2025-04-06,CHO,,CHI,"L, 117-131",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,79,2025-04-08,CHO,,MEM,"L, 100-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,80,2025-04-09,CHO,@,TOR,"L, 96-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,81,2025-04-11,CHO,@,BOS,"L, 94-130",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,82,2025-04-13,CHO,@,BOS,"L, 86-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Green
,1,2024-10-23,CHO,@,HOU,"W, 110-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,2,2024-10-25,CHO,@,ATL,"L, 120-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,3,2024-10-26,CHO,,MIA,"L, 106-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,4,2024-10-30,CHO,,TOR,"W, 138-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
,5,2024-11-01,CHO,,BOS,"L, 109-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,6,2024-11-02,CHO,,BOS,"L, 103-113",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,7,2024-11-04,CHO,@,MIN,"L, 93-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,8,2024-11-06,CHO,,DET,"W, 108-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,9,2024-11-08,CHO,,IND,"W, 103-83",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,11,2024-11-12,CHO,@,ORL,"L, 89-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,12,2024-11-16,CHO,,MIL,"W, 115-114",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,13,2024-11-17,CHO,@,CLE,"L, 114-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,14,2024-11-19,CHO,@,BRK,"L, 115-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,15,2024-11-21,CHO,,DET,"W, 123-121 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,16,2024-11-23,CHO,@,MIL,"L, 119-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,17,2024-11-25,CHO,,ORL,"L, 84-95",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,18,2024-11-27,CHO,,MIA,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,19,2024-11-29,CHO,,NYK,"L, 98-99",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,20,2024-11-30,CHO,,ATL,"L, 104-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
63,21,2024-12-03,CHO,,PHI,"L, 104-110",,08:37,1,4,.250,0,0,,1,4,.250,.250,2,2,1.000,2,1,3,0,0,1,1,1,4,2.6,-11,Mark Williams
64,22,2024-12-05,CHO,@,NYK,"L, 101-125",,10:44,3,6,.500,0,0,,3,6,.500,.500,0,0,,1,4,5,1,1,0,0,0,6,6.6,-11,Mark Williams
65,23,2024-12-07,CHO,,CLE,"L, 102-116",,10:36,5,5,1.000,0,0,,5,5,1.000,1.000,2,3,.667,3,2,5,2,0,0,1,1,12,12.8,-4,Mark Williams
,24,2024-12-08,CHO,@,IND,"W, 113-109",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
66,25,2024-12-13,CHO,@,CHI,"L, 95-109",*,17:26,6,7,.857,0,0,,6,7,.857,.857,3,4,.750,4,5,9,2,0,1,0,3,15,17.3,-12,Mark Williams
67,26,2024-12-16,CHO,,PHI,"L, 108-121",*,17:04,3,5,.600,0,0,,3,5,.600,.600,1,2,.500,1,2,3,3,0,3,1,3,7,7.6,-11,Mark Williams
68,27,2024-12-19,CHO,@,WAS,"L, 114-123",*,19:04,7,12,.583,0,0,,7,12,.583,.583,2,3,.667,3,5,8,1,1,1,0,1,16,15.6,3,Mark Williams
,28,2024-12-20,CHO,@,PHI,"L, 98-108",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
69,29,2024-12-23,CHO,,HOU,"L, 101-114",*,19:03,4,8,.500,0,0,,4,8,.500,.500,4,5,.800,2,7,9,3,1,0,1,3,12,12.0,-14,Mark Williams
70,30,2024-12-26,CHO,@,WAS,"L, 110-113",*,26:28,8,11,.727,0,0,,8,11,.727,.727,0,0,,2,6,8,5,1,0,0,4,16,17.6,6,Mark Williams
71,31,2024-12-28,CHO,,OKC,"L, 94-106",*,22:15,4,9,.444,0,0,,4,9,.444,.444,4,5,.800,2,8,10,2,0,1,1,3,12,10.6,-15,Mark Williams
72,32,2024-12-30,CHO,,CHI,"L, 108-115 (OT)",*,31:20,9,9,1.000,0,0,,9,9,1.000,1.000,2,2,1.000,2,10,12,2,2,3,1,1,20,25.8,12,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
73,33,2025-01-03,CHO,@,DET,"L, 94-98",*,28:19,7,12,.583,0,1,.000,7,11,.636,.583,4,5,.800,4,5,9,1,0,1,3,3,18,13.5,-14,Mark Williams
74,34,2025-01-05,CHO,@,CLE,"L, 105-115",*,28:20,4,7,.571,0,0,,4,7,.571,.571,3,3,1.000,1,8,9,1,1,1,2,5,11,9.2,-9,Mark Williams
75,35,2025-01-07,CHO,,PHO,"W, 115-104",*,21:33,2,7,.286,0,0,,2,7,.286,.286,5,5,1.000,4,6,10,3,0,0,3,1,9,8.2,-12,Mark Williams
76,36,2025-01-12,CHO,@,PHO,"L, 113-120",*,29:26,9,12,.750,0,0,,9,12,.750,.750,6,10,.600,6,10,16,4,0,1,3,2,24,24.5,8,Mark Williams
77,37,2025-01-15,CHO,@,UTA,"W, 117-112",*,36:15,12,14,.857,0,0,,12,14,.857,.857,7,10,.700,6,7,13,2,2,1,0,1,31,34.8,17,Mark Williams
78,38,2025-01-17,CHO,@,CHI,"W, 125-123",*,32:58,9,17,.529,0,0,,9,17,.529,.529,1,2,.500,7,12,19,3,1,2,0,5,19,21.3,10,Mark Williams
79,39,2025-01-20,CHO,,DAL,"W, 110-105",*,29:43,5,14,.357,0,0,,5,14,.357,.357,3,4,.750,7,6,13,2,1,3,3,4,13,11.4,1,Mark Williams
80,40,2025-01-22,CHO,@,MEM,"L, 120-132",*,32:39,14,18,.778,0,0,,14,18,.778,.778,10,13,.769,4,5,9,5,1,0,1,3,38,36.4,-11,Mark Williams
81,41,2025-01-24,CHO,,POR,"L, 97-102",*,31:03,6,12,.500,0,0,,6,12,.500,.500,3,4,.750,2,7,9,3,1,3,0,5,15,15.3,-12,Mark Williams
,42,2025-01-25,CHO,,NOP,"W, 123-92",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
82,43,2025-01-27,CHO,,LAL,"L, 107-112",*,33:18,5,13,.385,0,0,,5,13,.385,.385,1,2,.500,3,5,8,5,1,1,1,4,11,9.7,-10,Mark Williams
,44,2025-01-29,CHO,,BRK,"L, 83-104",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,45,2025-01-31,CHO,,LAC,"L, 104-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
83,46,2025-02-01,CHO,,DEN,"L, 104-107",*,31:53,8,17,.471,0,0,,8,17,.471,.471,4,4,1.000,6,9,15,3,0,3,1,2,20,20.6,-19,Mark Williams
84,47,2025-02-03,CHO,,WAS,"L, 114-124",*,32:09,7,12,.583,0,0,,7,12,.583,.583,9,10,.900,2,12,14,2,1,1,0,2,23,24.3,2,Mark Williams
85,48,2025-02-05,CHO,,MIL,"L, 102-112",*,25:07,2,8,.250,0,0,,2,8,.250,.250,2,2,1.000,1,4,5,2,0,0,0,2,6,3.7,-23,Mark Williams
,50,2025-02-08,LAL,,IND,"W, 124-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,50,2025-02-09,CHO,@,DET,"L, 102-112",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,51,2025-02-10,CHO,@,BRK,"L, 89-97",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,52,2025-02-12,CHO,@,ORL,"L, 86-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
86,53,2025-02-19,CHO,@,LAL,"W, 100-97",*,29:03,3,7,.429,0,0,,3,7,.429,.429,4,4,1.000,2,7,9,2,0,0,1,3,10,9.0,-5,Mark Williams
,54,2025-02-20,CHO,@,DEN,"L, 115-129",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
87,55,2025-02-22,CHO,@,POR,"L, 88-141",*,21:19,3,8,.375,0,0,,3,8,.375,.375,4,5,.800,2,3,5,0,2,0,1,1,10,8.1,-25,Mark Williams
,56,2025-02-24,CHO,@,SAC,"L, 88-130",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
88,57,2025-02-25,CHO,@,GSW,"L, 92-128",*,25:04,6,12,.500,0,0,,6,12,.500,.500,0,0,,4,8,12,0,0,3,3,3,12,9.1,-18,Mark Williams
89,58,2025-02-27,CHO,@,DAL,"L, 96-103",*,30:36,10,18,.556,0,0,,10,18,.556,.556,6,7,.857,4,12,16,3,0,1,3,5,26,21.2,-2,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
90,59,2025-03-01,CHO,,WAS,"L, 100-113",*,34:17,11,14,.786,0,0,,11,14,.786,.786,2,2,1.000,2,10,12,3,1,2,3,3,24,23.3,-6,Mark Williams
91,60,2025-03-03,CHO,,GSW,"L, 101-119",*,31:21,5,8,.625,0,0,,5,8,.625,.625,2,4,.500,2,11,13,1,1,2,1,0,12,14.4,-18,Mark Williams
92,61,2025-03-05,CHO,,MIN,"L, 110-125",*,24:15,5,7,.714,0,0,,5,7,.714,.714,2,4,.500,2,6,8,2,0,1,2,2,12,10.8,6,Mark Williams
,62,2025-03-07,CHO,,CLE,"L, 117-118",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
,63,2025-03-08,CHO,,BRK,"W, 105-102",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
93,64,2025-03-10,CHO,@,MIA,"W, 105-102",*,28:49,9,13,.692,0,0,,9,13,.692,.692,6,7,.857,3,7,10,2,2,2,0,1,24,26.7,13,Mark Williams
94,65,2025-03-12,CHO,@,ATL,"L, 110-123",*,25:32,6,9,.667,0,0,,6,9,.667,.667,2,2,1.000,3,11,14,2,1,2,3,3,14,15.1,-12,Mark Williams
95,66,2025-03-14,CHO,@,SAS,"W, 145-134",*,28:38,5,6,.833,0,0,,5,6,.833,.833,4,4,1.000,2,8,10,3,1,0,3,2,14,14.9,14,Mark Williams
96,67,2025-03-16,CHO,@,LAC,"L, 88-123",*,24:35,9,15,.600,0,0,,9,15,.600,.600,0,0,,5,10,15,7,1,1,1,3,18,22.0,-18,Mark Williams
97,68,2025-03-18,CHO,,ATL,"L, 102-134",*,22:50,1,3,.333,0,0,,1,3,.333,.333,2,2,1.000,1,4,5,5,2,2,3,1,4,7.7,-24,Mark Williams
98,69,2025-03-20,CHO,,NYK,"W, 115-98",*,31:10,8,14,.571,0,0,,8,14,.571,.571,3,3,1.000,7,7,14,4,0,3,1,1,19,22.9,5,Mark Williams
,70,2025-03-21,CHO,@,OKC,"L, 106-141",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
99,71,2025-03-23,CHO,@,MIA,"L, 105-122",*,27:30,6,7,.857,0,0,,6,7,.857,.857,2,2,1.000,1,4,5,1,0,3,2,2,14,13.4,-8,Mark Williams
100,72,2025-03-25,CHO,,ORL,"L, 104-111",*,28:13,4,7,.571,0,0,,4,7,.571,.571,0,0,,3,10,13,4,2,1,2,2,8,12.5,1,Mark Williams
101,73,2025-03-28,CHO,@,TOR,"L, 97-108",*,29:25,9,9,1.000,0,0,,9,9,1.000,1.000,0,0,,1,11,12,5,0,1,2,2,18,20.7,-4,Mark Williams
,74,2025-03-30,CHO,@,NOP,"L, 94-98",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
102,75,2025-03-31,CHO,,UTA,"W, 110-106",*,34:19,8,9,.889,0,0,,8,9,.889,.889,2,2,1.000,3,10,13,1,0,0,3,3,18,16.5,15,Mark Williams
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Mark Williams
103,76,2025-04-02,CHO,@,IND,"L, 105-119",*,32:15,6,8,.750,0,1,.000,6,7,.857,.750,4,6,.667,3,9,12,1,0,0,4,0,16,13.5,-15,Mark Williams
,77,2025-04-04,CHO,,SAC,"L, 102-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
104,78,2025-04-06,CHO,,CHI,"L, 117-131",*,31:00,7,11,.636,0,1,.000,7,10,.700,.636,8,9,.889,0,9,9,2,1,1,2,5,22,18.5,-14,Mark Williams
105,79,2025-04-08,CHO,,MEM,"L, 100-124",*,31:07,4,11,.364,0,1,.000,4,10,.400,.364,0,0,,2,5,7,2,1,1,4,3,8,2.7,-35,Mark Williams
,80,2025-04-09,CHO,@,TOR,"L, 96-126",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
106,81,2025-04-11,CHO,@,BOS,"L, 94-130",*,24:27,5,12,.417,0,0,,5,12,.417,.417,0,0,,5,7,12,2,2,1,4,1,10,8.9,-22,Mark Williams
,82,2025-04-13,CHO,@,BOS,"L, 86-93",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Williams
207,1,2024-10-23,CHO,@,HOU,"W, 110-105",*,23:31,2,6,.333,1,4,.250,1,2,.500,.417,3,4,.750,3,5,8,1,0,1,0,3,8,8.0,4,Cody Martin
208,2,2024-10-25,CHO,@,ATL,"L, 120-125",*,23:12,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,1,4,5,1,0,0,0,2,3,1.7,-8,Cody Martin
209,3,2024-10-26,CHO,,MIA,"L, 106-114",*,27:29,4,9,.444,2,6,.333,2,3,.667,.556,0,0,,2,1,3,2,1,1,2,4,10,6.5,3,Cody Martin
210,4,2024-10-30,CHO,,TOR,"W, 138-133",,24:50,9,11,.818,4,6,.667,5,5,1.000,1.000,3,4,.750,1,3,4,2,1,0,0,4,25,22.9,1,Cody Martin
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Cody Martin
211,5,2024-11-01,CHO,,BOS,"L, 109-124",,25:55,3,9,.333,1,3,.333,2,6,.333,.389,0,0,,1,2,3,1,1,1,1,2,7,3.8,-9,Cody Martin
212,6,2024-11-02,CHO,,BOS,"L, 103-113",,19:01,4,8,.500,1,4,.250,3,4,.750,.563,2,2,1.000,0,4,4,1,1,0,2,0,11,7.9,-2,Cody Martin
213,7,2024-11-04,CHO,@,MIN,"L, 93-114",,19:01,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,3,3,1,2,0,1,3,6,5.4,-25,Cody Martin
214,8,2024-11-06,CHO,,DET,"W, 108-107",,27:33,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,1,3,4,3,0,1,0,0,7,8.4,3,Cody Martin
215,9,2024-11-08,CHO,,IND,"W, 103-83",,26:54,6,11,.545,3,6,.500,3,5,.600,.682,0,0,,1,4,5,4,1,0,0,0,15,15.4,39,Cody Martin
216,10,2024-11-10,CHO,@,PHI,"L, 105-107 (OT)",,32:28,3,8,.375,1,5,.200,2,3,.667,.438,0,0,,0,6,6,5,2,0,3,3,7,5.7,3,Cody Martin
217,11,2024-11-12,CHO,@,ORL,"L, 89-114",,19:27,3,4,.750,2,2,1.000,1,2,.500,1.000,0,0,,0,3,3,0,1,0,2,0,8,6.3,-12,Cody Martin
218,12,2024-11-16,CHO,,MIL,"W, 115-114",,23:00,1,3,.333,1,1,1.000,0,2,.000,.500,3,6,.500,0,2,2,3,0,0,1,2,6,4.0,4,Cody Martin
219,13,2024-11-17,CHO,@,CLE,"L, 114-128",,25:26,2,8,.250,0,3,.000,2,5,.400,.250,1,2,.500,5,1,6,2,2,3,1,2,5,7.3,-2,Cody Martin
220,14,2024-11-19,CHO,@,BRK,"L, 115-116",,24:38,1,4,.250,1,1,1.000,0,3,.000,.375,1,2,.500,2,4,6,2,2,1,2,2,4,5.1,11,Cody Martin
221,15,2024-11-21,CHO,,DET,"W, 123-121 (OT)",,35:34,6,8,.750,3,4,.750,3,4,.750,.938,0,0,,1,2,3,1,1,2,0,5,15,14.2,-13,Cody Martin
222,16,2024-11-23,CHO,@,MIL,"L, 119-125",,29:10,2,7,.286,0,4,.000,2,3,.667,.286,2,2,1.000,2,4,6,4,2,2,0,2,6,9.9,5,Cody Martin
223,17,2024-11-25,CHO,,ORL,"L, 84-95",,24:58,2,6,.333,0,4,.000,2,2,1.000,.333,0,0,,0,6,6,2,1,0,1,2,4,3.0,-14,Cody Martin
224,18,2024-11-27,CHO,,MIA,"L, 94-98",,22:43,2,10,.200,0,3,.000,2,7,.286,.200,0,2,.000,1,5,6,3,4,2,0,1,4,6.3,-5,Cody Martin
225,19,2024-11-29,CHO,,NYK,"L, 98-99",,21:59,2,7,.286,2,6,.333,0,1,.000,.429,3,4,.750,2,5,7,5,1,1,0,1,9,12.2,6,Cody Martin
226,20,2024-11-30,CHO,,ATL,"L, 104-107",,25:32,5,9,.556,1,2,.500,4,7,.571,.611,1,2,.500,1,6,7,5,0,0,1,0,12,12.3,15,Cody Martin
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Cody Martin
227,21,2024-12-03,CHO,,PHI,"L, 104-110",,30:39,5,8,.625,2,5,.400,3,3,1.000,.750,0,0,,0,2,2,3,0,0,2,3,12,7.9,3,Cody Martin
228,22,2024-12-05,CHO,@,NYK,"L, 101-125",,26:26,2,7,.286,0,2,.000,2,5,.400,.286,0,0,,1,2,3,1,0,1,1,1,4,1.2,-29,Cody Martin
229,23,2024-12-07,CHO,,CLE,"L, 102-116",*,35:40,2,9,.222,0,5,.000,2,4,.500,.222,0,0,,0,9,9,4,1,2,2,3,4,3.2,-9,Cody Martin
230,24,2024-12-08,CHO,@,IND,"W, 113-109",*,33:29,6,10,.600,2,4,.500,4,6,.667,.700,0,0,,1,5,6,1,2,0,3,1,14,10.9,4,Cody Martin
231,25,2024-12-13,CHO,@,CHI,"L, 95-109",,25:07,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,1,1,2,0,1,0,1,2,5,1.1,-3,Cody Martin
232,26,2024-12-16,CHO,,PHI,"L, 108-121",,28:59,4,7,.571,2,5,.400,2,2,1.000,.714,0,0,,1,4,5,2,2,1,1,5,10,9.7,-9,Cody Martin
233,27,2024-12-19,CHO,@,WAS,"L, 114-123",,25:57,5,9,.556,1,5,.200,4,4,1.000,.611,3,3,1.000,1,1,2,1,2,0,2,0,14,11.4,-12,Cody Martin
234,28,2024-12-20,CHO,@,PHI,"L, 98-108",*,20:16,5,10,.500,1,3,.333,4,7,.571,.550,0,0,,0,5,5,3,2,0,1,2,11,9.8,-14,Cody Martin
235,29,2024-12-23,CHO,,HOU,"L, 101-114",*,31:30,3,10,.300,0,5,.000,3,5,.600,.300,0,0,,2,3,5,4,2,2,2,1,6,6.3,-3,Cody Martin
236,30,2024-12-26,CHO,@,WAS,"L, 110-113",,18:33,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,2,2,4,1,0,0,2,4,2,0.4,-1,Cody Martin
,31,2024-12-28,CHO,,OKC,"L, 94-106",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Martin
,32,2024-12-30,CHO,,CHI,"L, 108-115 (OT)",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Cody Martin
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Cody Martin
237,33,2025-01-03,CHO,@,DET,"L, 94-98",,20:02,2,5,.400,0,0,,2,5,.400,.400,0,2,.000,0,7,7,2,0,2,0,1,4,5.0,3,Cody Martin
238,34,2025-01-05,CHO,@,CLE,"L, 105-115",,21:35,4,5,.800,0,0,,4,5,.800,.800,0,0,,1,5,6,5,4,0,2,2,8,13.0,12,Cody Martin
