Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
256,82,2025-04-13,BOS,,CHO,"W, 93-86",*,28:34,4,9,.444,4,7,.571,0,2,.000,.667,3,3,1.000,0,2,2,1,0,0,0,0,15,11.6,2,Sam Hauser
281,1,2024-10-22,BOS,,NYK,"W, 132-109",,19:19,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,1,3,1,1,1,0,0,4,6.8,2,Luke Kornet
282,2,2024-10-24,BOS,@,WAS,"W, 122-102",,16:13,2,3,.667,0,0,,2,3,.667,.667,0,0,,1,3,4,1,0,0,0,4,4,3.4,13,Luke Kornet
283,3,2024-10-26,BOS,@,DET,"W, 124-118",,19:19,0,1,.000,0,0,,0,1,.000,.000,0,0,,3,1,4,3,1,1,2,2,0,2.7,-5,Luke Kornet
284,4,2024-10-28,BOS,,MIL,"W, 119-108",,09:46,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,1,0,0,0,1.7,-5,Luke Kornet
285,5,2024-10-30,BOS,@,IND,"L, 132-135 (OT)",,15:42,1,5,.200,0,0,,1,5,.200,.200,6,6,1.000,7,2,9,2,0,0,0,2,8,11.0,-3,Luke Kornet
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Luke Kornet
286,6,2024-11-01,BOS,@,CHO,"W, 124-109",*,23:31,2,2,1.000,0,0,,2,2,1.000,1.000,1,2,.500,2,2,4,1,1,2,0,1,5,8.7,16,Luke Kornet
287,7,2024-11-02,BOS,@,CHO,"W, 113-103",*,29:36,6,6,1.000,0,0,,6,6,1.000,1.000,7,7,1.000,1,3,4,3,1,2,2,2,19,20.5,8,Luke Kornet
288,8,2024-11-04,BOS,@,ATL,"W, 123-93",,15:40,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,5,7,0,1,1,0,3,2,4.4,2,Luke Kornet
289,9,2024-11-06,BOS,,GSW,"L, 112-118",,14:21,0,2,.000,0,0,,0,2,.000,.000,2,2,1.000,2,1,3,2,0,0,0,1,2,3.3,-7,Luke Kornet
,10,2024-11-08,BOS,,BRK,"W, 108-104 (OT)",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Luke Kornet
290,11,2024-11-10,BOS,@,MIL,"W, 113-107",,05:42,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,0,0,0,1,0,0.3,-1,Luke Kornet
291,12,2024-11-12,BOS,,ATL,"L, 116-117",,04:19,0,0,,0,0,,0,0,,,0,0,,0,2,2,2,1,0,0,0,0,3.0,1,Luke Kornet
