Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
54,27,2024-12-15,MEM,@,LAL,"L, 110-116",,09:01,1,4,.250,0,2,.000,1,2,.500,.250,0,0,,0,2,2,0,0,1,3,1,2,-2.5,-6,Scotty Pippen Jr.
55,28,2024-12-19,MEM,,GSW,"W, 144-93",,16:25,3,8,.375,1,3,.333,2,5,.400,.438,1,4,.250,0,0,0,5,0,0,2,3,8,2.7,24,Scotty Pippen Jr.
56,29,2024-12-21,MEM,@,ATL,"W, 128-112",*,32:40,9,12,.750,3,4,.750,6,8,.750,.875,1,3,.333,0,5,5,9,2,0,5,1,22,20.8,14,Scotty Pippen Jr.
57,30,2024-12-23,MEM,,LAC,"L, 110-114",,18:31,5,10,.500,3,4,.750,2,6,.333,.650,0,1,.000,1,1,2,2,0,1,1,3,13,8.5,8,Scotty Pippen Jr.
58,31,2024-12-26,MEM,,TOR,"W, 155-126",,20:57,5,12,.417,1,5,.200,4,7,.571,.458,4,5,.800,1,1,2,3,4,0,2,2,15,12.5,1,Scotty Pippen Jr.
59,32,2024-12-27,MEM,@,NOP,"W, 132-124",,23:11,4,10,.400,3,6,.500,1,4,.250,.550,2,2,1.000,3,3,6,4,0,0,1,4,13,10.8,-8,Scotty Pippen Jr.
60,33,2024-12-29,MEM,@,OKC,"L, 106-130",*,23:49,4,7,.571,1,2,.500,3,5,.600,.643,1,2,.500,2,1,3,6,1,1,4,1,10,9.5,-19,Scotty Pippen Jr.
61,34,2024-12-31,MEM,@,PHO,"W, 117-112",*,21:32,0,5,.000,0,3,.000,0,2,.000,.000,2,2,1.000,1,1,2,3,1,2,3,4,2,-0.6,-6,Scotty Pippen Jr.
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Scotty Pippen Jr.
62,35,2025-01-03,MEM,@,SAC,"L, 133-138",*,25:00,4,6,.667,3,5,.600,1,1,1.000,.917,5,5,1.000,0,2,2,5,1,0,4,4,16,12.9,-21,Scotty Pippen Jr.
