Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
202,36,2025-01-06,DAL,@,MEM,"L, 104-119",,26:01,4,13,.308,1,6,.167,3,7,.429,.346,0,0,,0,6,6,6,1,0,2,1,9,6.1,-10,Quentin Grimes
203,37,2025-01-07,DAL,,LAL,"W, 118-97",,29:09,8,17,.471,6,11,.545,2,6,.333,.647,1,2,.500,1,8,9,6,1,0,0,2,23,21.4,13,Quentin Grimes
204,38,2025-01-09,DAL,,POR,"W, 117-111",,26:52,5,12,.417,2,6,.333,3,6,.500,.500,1,1,1.000,1,3,4,4,1,0,2,3,13,8.8,2,Quentin Grimes
205,39,2025-01-12,DAL,,DEN,"L, 101-112",,18:38,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,4,4,0,0,0,4,1,3,-2.6,-22,Quentin Grimes
206,40,2025-01-14,DAL,,DEN,"L, 99-118",,26:35,3,8,.375,2,6,.333,1,2,.500,.500,2,2,1.000,0,0,0,5,3,0,0,1,10,11.7,0,Quentin Grimes
207,41,2025-01-15,DAL,@,NOP,"L, 116-119",,18:32,6,11,.545,1,4,.250,5,7,.714,.591,1,2,.500,0,2,2,2,1,0,0,1,14,10.9,0,Quentin Grimes
208,42,2025-01-17,DAL,,OKC,"W, 106-98",,21:36,2,4,.500,1,3,.333,1,1,1.000,.625,0,0,,0,3,3,1,0,0,0,0,5,4.6,-8,Quentin Grimes
,43,2025-01-20,DAL,@,CHO,"L, 105-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Quentin Grimes
209,44,2025-01-22,DAL,,MIN,"L, 114-115",*,36:18,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,0,4,4,3,0,0,3,2,5,0.4,-5,Quentin Grimes
210,45,2025-01-23,DAL,@,OKC,"W, 121-115",,27:07,2,5,.400,2,4,.500,0,1,.000,.600,3,4,.750,0,1,1,3,0,0,3,2,9,4.5,3,Quentin Grimes
211,46,2025-01-25,DAL,,BOS,"L, 107-122",,25:54,7,12,.583,2,3,.667,5,9,.556,.667,4,4,1.000,1,6,7,2,1,0,1,4,20,16.7,-20,Quentin Grimes
212,47,2025-01-27,DAL,,WAS,"W, 130-108",,24:46,3,8,.375,3,6,.500,0,2,.000,.563,0,0,,0,4,4,6,0,0,2,2,9,7.2,5,Quentin Grimes
213,48,2025-01-29,DAL,@,NOP,"W, 137-136",,20:19,6,8,.750,3,5,.600,3,3,1.000,.938,2,2,1.000,0,1,1,0,3,0,2,3,17,13.9,5,Quentin Grimes
214,49,2025-01-31,DAL,@,DET,"L, 102-117",,10:12,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,2,2,0,-3.5,-5,Quentin Grimes
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Quentin Grimes
215,50,2025-02-02,DAL,@,CLE,"L, 101-144",,23:41,5,14,.357,1,7,.143,4,7,.571,.393,0,1,.000,1,2,3,3,0,1,0,1,11,6.5,-26,Quentin Grimes
,49,2025-02-04,PHI,,DAL,"W, 118-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Quentin Grimes
,50,2025-02-05,PHI,,MIA,"L, 101-108",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,Quentin Grimes
216,51,2025-02-07,PHI,@,DET,"L, 112-125",,28:01,5,9,.556,2,5,.400,3,4,.750,.667,2,2,1.000,1,1,2,2,0,1,1,2,14,11.0,-5,Quentin Grimes
217,52,2025-02-09,PHI,@,MIL,"L, 127-135",,31:19,4,11,.364,2,7,.286,2,4,.500,.455,0,0,,1,6,7,5,0,1,1,3,10,8.4,-10,Quentin Grimes
218,53,2025-02-11,PHI,,TOR,"L, 103-106",,35:31,5,12,.417,1,6,.167,4,6,.667,.458,2,3,.667,3,4,7,4,2,0,0,1,13,13.9,8,Quentin Grimes
219,54,2025-02-12,PHI,@,BRK,"L, 96-100",*,36:27,10,18,.556,4,9,.444,6,9,.667,.667,6,9,.667,2,7,9,4,2,1,2,1,30,26.8,-3,Quentin Grimes
220,55,2025-02-20,PHI,,BOS,"L, 104-124",*,33:06,5,12,.417,1,5,.200,4,7,.571,.458,1,1,1.000,0,7,7,3,0,0,2,3,12,6.6,-16,Quentin Grimes
221,56,2025-02-22,PHI,,BRK,"L, 103-105",*,37:22,6,12,.500,3,6,.500,3,6,.500,.625,1,1,1.000,3,4,7,5,2,0,3,1,16,15.4,-6,Quentin Grimes
222,57,2025-02-24,PHI,,CHI,"L, 110-142",*,23:54,3,8,.375,3,6,.500,0,2,.000,.563,0,0,,0,3,3,1,0,1,1,2,9,5.1,-19,Quentin Grimes
223,58,2025-02-26,PHI,@,NYK,"L, 105-110",*,20:37,1,4,.250,1,3,.333,0,1,.000,.375,0,0,,0,1,1,0,1,1,1,1,3,1.2,-4,Quentin Grimes
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Quentin Grimes
224,59,2025-03-01,PHI,,GSW,"W, 126-119",*,36:43,18,24,.750,6,9,.667,12,15,.800,.875,2,8,.250,1,5,6,1,3,1,2,3,44,35.4,-5,Quentin Grimes
