Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
,32,2024-12-28,ATL,,MIA,"W, 120-110",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Dyson Daniels
,33,2024-12-29,ATL,@,TOR,"W, 136-107",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Dyson Daniels
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Dyson Daniels
150,34,2025-01-01,ATL,@,DEN,"L, 120-139",*,30:00,4,17,.235,1,7,.143,3,10,.300,.265,0,0,,3,2,5,6,3,0,0,1,9,8.2,-17,Dyson Daniels
151,35,2025-01-03,ATL,@,LAL,"L, 102-119",*,30:56,6,14,.429,1,5,.200,5,9,.556,.464,0,1,.000,0,3,3,4,5,0,0,1,13,13.5,-19,Dyson Daniels
152,36,2025-01-04,ATL,@,LAC,"L, 105-131",*,29:34,5,10,.500,0,1,.000,5,9,.556,.500,1,2,.500,1,2,3,1,3,1,2,1,11,8.9,-25,Dyson Daniels
153,37,2025-01-07,ATL,@,UTA,"W, 124-121",*,35:11,7,12,.583,2,4,.500,5,8,.625,.667,0,0,,1,5,6,7,2,2,1,4,16,18.3,2,Dyson Daniels
154,38,2025-01-09,ATL,@,PHO,"L, 115-123",*,36:24,6,12,.500,1,2,.500,5,10,.500,.542,0,0,,2,2,4,3,3,0,0,2,13,13.3,-9,Dyson Daniels
155,39,2025-01-14,ATL,,PHO,"W, 122-117",*,33:39,4,11,.364,1,3,.333,3,8,.375,.409,0,0,,2,2,4,3,3,0,1,4,9,7.4,-10,Dyson Daniels
156,40,2025-01-15,ATL,@,CHI,"W, 110-94",*,33:43,7,16,.438,1,4,.250,6,12,.500,.469,3,7,.429,5,3,8,3,3,1,2,1,18,15.8,9,Dyson Daniels
157,41,2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",*,39:52,11,14,.786,1,3,.333,10,11,.909,.821,0,0,,1,3,4,4,1,0,5,3,23,16.8,6,Dyson Daniels
158,42,2025-01-20,ATL,@,NYK,"L, 110-119",*,30:52,5,7,.714,0,1,.000,5,6,.833,.714,0,0,,2,2,4,3,3,1,3,6,10,9.5,2,Dyson Daniels
159,43,2025-01-22,ATL,,DET,"L, 104-114",*,32:50,10,21,.476,0,5,.000,10,16,.625,.476,0,1,.000,4,6,10,2,2,0,1,1,20,15.5,-3,Dyson Daniels
160,44,2025-01-23,ATL,,TOR,"L, 119-122",*,36:42,8,14,.571,2,4,.500,6,10,.600,.643,4,5,.800,4,4,8,5,4,0,2,1,22,24.1,2,Dyson Daniels
161,45,2025-01-25,ATL,,TOR,"L, 94-117",*,34:18,6,11,.545,1,2,.500,5,9,.556,.591,0,1,.000,1,5,6,6,5,0,4,5,13,12.7,-18,Dyson Daniels
,46,2025-01-27,ATL,@,MIN,"L, 92-100",Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,Dyson Daniels
162,47,2025-01-28,ATL,,HOU,"L, 96-100",*,36:41,4,12,.333,1,5,.200,3,7,.429,.375,3,3,1.000,2,8,10,6,4,1,1,3,12,15.7,3,Dyson Daniels
163,48,2025-01-30,ATL,@,CLE,"L, 115-137",*,30:29,3,8,.375,1,1,1.000,2,7,.286,.438,0,0,,1,6,7,5,1,0,1,1,7,8.2,-11,Dyson Daniels
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Dyson Daniels
164,49,2025-02-01,ATL,@,IND,"L, 127-132",*,35:36,8,15,.533,2,3,.667,6,12,.500,.600,5,6,.833,1,3,4,4,1,1,3,5,23,16.4,1,Dyson Daniels
165,50,2025-02-03,ATL,@,DET,"W, 132-130",*,36:25,6,10,.600,1,1,1.000,5,9,.556,.650,6,10,.600,1,5,6,7,4,3,4,3,19,20.8,-9,Dyson Daniels
166,51,2025-02-05,ATL,,SAS,"L, 125-126",*,38:21,8,14,.571,1,2,.500,7,12,.583,.607,2,2,1.000,2,6,8,7,2,0,2,2,19,19.7,5,Dyson Daniels
167,52,2025-02-07,ATL,,MIL,"W, 115-110",*,38:10,5,12,.417,1,2,.500,4,10,.400,.458,4,7,.571,0,6,6,10,1,0,2,1,15,14.8,8,Dyson Daniels
168,53,2025-02-08,ATL,@,WAS,"W, 125-111",*,35:18,4,13,.308,0,0,,4,13,.308,.308,3,4,.750,4,5,9,4,1,3,0,1,11,12.9,3,Dyson Daniels
169,54,2025-02-10,ATL,@,ORL,"W, 112-106",*,33:12,5,8,.625,0,0,,5,8,.625,.625,0,0,,0,6,6,4,4,1,1,2,10,13.9,0,Dyson Daniels
170,55,2025-02-12,ATL,@,NYK,"L, 148-149 (OT)",*,36:29,10,15,.667,2,3,.667,8,12,.667,.733,1,2,.500,1,3,4,4,4,0,1,5,23,21.5,2,Dyson Daniels
171,56,2025-02-20,ATL,,ORL,"L, 108-114",*,33:36,3,15,.200,0,3,.000,3,12,.250,.200,4,6,.667,3,8,11,4,3,0,0,2,10,9.4,-4,Dyson Daniels
172,57,2025-02-23,ATL,,DET,"L, 143-148",*,38:16,10,14,.714,3,3,1.000,7,11,.636,.821,1,2,.500,0,5,5,6,4,1,3,3,24,24.0,-2,Dyson Daniels
173,58,2025-02-24,ATL,,MIA,"W, 98-86",*,33:48,5,12,.417,0,3,.000,5,9,.556,.417,0,0,,2,9,11,2,7,0,2,4,10,12.5,7,Dyson Daniels
174,59,2025-02-26,ATL,@,MIA,"L, 109-131",*,33:01,8,10,.800,1,1,1.000,7,9,.778,.850,1,2,.500,2,3,5,5,2,0,3,1,18,18.2,-6,Dyson Daniels
175,60,2025-02-28,ATL,,OKC,"L, 119-135",*,32:27,5,10,.500,0,0,,5,10,.500,.500,0,2,.000,1,3,4,3,2,2,1,1,10,9.9,-7,Dyson Daniels
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Dyson Daniels
176,61,2025-03-03,ATL,@,MEM,"W, 132-130",*,33:22,6,10,.600,0,0,,6,10,.600,.600,2,4,.500,0,3,3,7,3,0,2,5,14,13.4,16,Dyson Daniels
177,62,2025-03-04,ATL,,MIL,"L, 121-127",*,33:31,7,14,.500,2,4,.500,5,10,.500,.571,0,2,.000,0,9,9,6,2,0,3,2,16,13.3,-14,Dyson Daniels
178,63,2025-03-06,ATL,,IND,"W, 124-118",*,34:43,8,12,.667,1,1,1.000,7,11,.636,.708,0,0,,0,4,4,5,1,0,3,3,17,13.3,-8,Dyson Daniels
179,64,2025-03-08,ATL,,IND,"W, 120-118",*,34:42,4,10,.400,2,3,.667,2,7,.286,.500,0,0,,1,5,6,4,5,0,0,2,10,13.8,16,Dyson Daniels
180,65,2025-03-10,ATL,,PHI,"W, 132-123",*,33:06,10,14,.714,1,2,.500,9,12,.750,.750,4,5,.800,1,5,6,9,2,0,4,3,25,24.1,-4,Dyson Daniels
181,66,2025-03-12,ATL,,CHO,"W, 123-110",*,34:01,5,14,.357,0,1,.000,5,13,.385,.357,0,0,,2,3,5,3,4,2,2,1,10,9.6,14,Dyson Daniels
182,67,2025-03-14,ATL,,LAC,"L, 98-121",*,31:22,2,12,.167,0,4,.000,2,8,.250,.167,2,2,1.000,2,4,6,5,3,0,3,3,6,3.3,-3,Dyson Daniels
183,68,2025-03-16,ATL,@,BRK,"L, 114-122",*,34:19,6,11,.545,1,2,.500,5,9,.556,.591,1,4,.250,3,3,6,7,4,1,3,1,14,16.7,8,Dyson Daniels
184,69,2025-03-18,ATL,@,CHO,"W, 134-102",*,27:36,10,12,.833,1,2,.500,9,10,.900,.875,1,3,.333,2,5,7,7,3,1,3,0,22,25.3,25,Dyson Daniels
185,70,2025-03-22,ATL,,GSW,"W, 124-115",*,35:01,5,9,.556,2,5,.400,3,4,.750,.667,0,0,,2,9,11,6,3,0,2,1,12,16.6,4,Dyson Daniels
186,71,2025-03-23,ATL,,PHI,"W, 132-119",*,33:50,4,12,.333,0,3,.000,4,9,.444,.333,0,0,,0,5,5,3,5,0,3,1,8,6.4,10,Dyson Daniels
187,72,2025-03-25,ATL,@,HOU,"L, 114-121",*,36:01,7,14,.500,3,6,.500,4,8,.500,.607,2,2,1.000,4,4,8,10,4,0,2,3,19,23.8,10,Dyson Daniels
188,73,2025-03-27,ATL,@,MIA,"L, 112-122",*,35:09,4,10,.400,1,4,.250,3,6,.500,.450,0,0,,2,6,8,3,2,1,2,0,9,9.6,-1,Dyson Daniels
189,74,2025-03-30,ATL,@,MIL,"W, 145-124",*,33:34,10,15,.667,0,3,.000,10,12,.833,.667,2,2,1.000,3,6,9,6,5,0,2,4,22,25.0,21,Dyson Daniels
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Dyson Daniels
190,75,2025-04-01,ATL,,POR,"L, 113-127",*,36:42,11,13,.846,0,1,.000,11,12,.917,.846,0,0,,2,8,10,1,3,2,6,3,22,19.0,-20,Dyson Daniels
191,76,2025-04-02,ATL,@,DAL,"L, 118-120",*,32:53,7,12,.583,3,4,.750,4,8,.500,.708,0,0,,2,4,6,5,1,0,2,1,17,16.1,0,Dyson Daniels
192,77,2025-04-05,ATL,,NYK,"L, 105-121",*,26:38,5,8,.625,1,2,.500,4,6,.667,.688,1,2,.500,2,0,2,1,2,1,1,0,12,11.8,-27,Dyson Daniels
193,78,2025-04-06,ATL,,UTA,"W, 147-134",*,36:13,8,16,.500,2,4,.500,6,12,.500,.563,1,2,.500,0,6,6,6,3,0,1,2,19,17.8,15,Dyson Daniels
194,79,2025-04-08,ATL,@,ORL,"L, 112-119",*,33:53,7,12,.583,0,2,.000,7,10,.700,.583,1,2,.500,2,3,5,3,1,2,4,2,15,11.0,-9,Dyson Daniels
195,80,2025-04-10,ATL,@,BRK,"W, 133-109",*,28:20,4,9,.444,0,0,,4,9,.444,.444,2,2,1.000,0,9,9,9,3,0,4,1,10,12.9,17,Dyson Daniels
196,81,2025-04-11,ATL,@,PHI,"W, 124-110",*,36:39,4,11,.364,0,4,.000,4,7,.571,.364,0,2,.000,2,8,10,8,3,2,2,0,8,12.9,14,Dyson Daniels
,82,2025-04-13,ATL,,ORL,"W, 117-105",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,Dyson Daniels
264,1,2024-10-23,ATL,,BRK,"W, 120-116",*,25:47,3,10,.300,2,4,.500,1,6,.167,.400,4,5,.800,1,5,6,1,2,0,0,5,12,8.7,10,De'Andre Hunter
265,2,2024-10-25,ATL,,CHO,"W, 125-120",*,33:09,7,14,.500,2,6,.333,5,8,.625,.571,8,8,1.000,1,6,7,3,0,1,0,4,24,20.7,4,De'Andre Hunter
,3,2024-10-27,ATL,@,OKC,"L, 104-128",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,4,2024-10-28,ATL,,WAS,"L, 119-121",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,5,2024-10-30,ATL,@,WAS,"L, 120-133",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Andre Hunter
,6,2024-11-01,ATL,,SAC,"L, 115-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,7,2024-11-03,ATL,@,NOP,"W, 126-111",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,8,2024-11-04,ATL,,BOS,"L, 93-123",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,9,2024-11-06,ATL,,NYK,"W, 121-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,10,2024-11-08,ATL,@,DET,"L, 121-122",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,11,2024-11-09,ATL,,CHI,"L, 113-125",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,12,2024-11-12,ATL,@,BOS,"W, 117-116",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
266,13,2024-11-15,ATL,,WAS,"W, 129-117",,20:52,7,13,.538,3,5,.600,4,8,.500,.654,5,7,.714,0,3,3,1,0,0,1,3,22,14.3,3,De'Andre Hunter
,14,2024-11-17,ATL,@,POR,"L, 110-114",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
267,15,2024-11-18,ATL,@,SAC,"W, 109-108",,24:34,9,15,.600,4,8,.500,5,7,.714,.733,2,2,1.000,1,1,2,1,0,1,1,3,24,17.3,1,De'Andre Hunter
268,16,2024-11-20,ATL,@,GSW,"L, 97-120",,25:06,3,12,.250,0,6,.000,3,6,.500,.250,4,4,1.000,2,4,6,1,4,0,1,2,10,8.3,-21,De'Andre Hunter
269,17,2024-11-22,ATL,@,CHI,"L, 122-136",,29:15,6,12,.500,1,4,.250,5,8,.625,.542,1,1,1.000,0,2,2,0,1,0,1,3,14,7.4,-2,De'Andre Hunter
270,18,2024-11-25,ATL,,DAL,"L, 119-129",,31:23,3,11,.273,1,5,.200,2,6,.333,.318,2,2,1.000,0,4,4,2,0,0,4,1,9,0.7,-16,De'Andre Hunter
271,19,2024-11-27,ATL,@,CLE,"W, 135-124",,30:28,9,16,.563,5,9,.556,4,7,.571,.719,3,4,.750,0,5,5,1,0,0,3,2,26,16.4,11,De'Andre Hunter
272,20,2024-11-29,ATL,,CLE,"W, 117-101",,27:56,7,12,.583,4,7,.571,3,5,.600,.750,5,5,1.000,0,5,5,3,0,0,1,1,23,19.6,14,De'Andre Hunter
273,21,2024-11-30,ATL,@,CHO,"W, 107-104",,24:36,5,9,.556,1,3,.333,4,6,.667,.611,7,8,.875,1,2,3,0,0,0,2,2,18,11.8,-2,De'Andre Hunter
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Andre Hunter
274,22,2024-12-02,ATL,,NOP,"W, 124-112",,28:40,8,14,.571,4,7,.571,4,7,.571,.714,2,2,1.000,1,1,2,0,0,0,1,3,22,14.2,9,De'Andre Hunter
275,23,2024-12-04,ATL,@,MIL,"W, 119-104",,28:14,6,13,.462,2,7,.286,4,6,.667,.538,6,6,1.000,0,5,5,2,3,0,0,2,20,18.4,15,De'Andre Hunter
276,24,2024-12-06,ATL,,LAL,"W, 134-132 (OT)",,33:54,9,15,.600,5,7,.714,4,8,.500,.767,3,4,.750,0,3,3,2,2,0,2,2,26,20.2,-5,De'Andre Hunter
277,25,2024-12-08,ATL,,DEN,"L, 111-141",,24:27,7,20,.350,3,9,.333,4,11,.364,.425,3,3,1.000,1,2,3,1,0,0,0,2,20,10.0,-20,De'Andre Hunter
278,26,2024-12-11,ATL,@,NYK,"W, 108-100",,28:52,8,15,.533,4,5,.800,4,10,.400,.667,4,6,.667,1,0,1,0,0,0,0,2,24,15.8,10,De'Andre Hunter
279,27,2024-12-14,ATL,@,MIL,"L, 102-110",,29:53,5,16,.313,3,6,.500,2,10,.200,.406,2,4,.500,1,6,7,3,0,0,2,2,15,6.8,-3,De'Andre Hunter
280,28,2024-12-19,ATL,@,SAS,"L, 126-133 (OT)",,36:18,9,15,.600,4,8,.500,5,7,.714,.733,5,5,1.000,1,5,6,1,1,0,3,4,27,19.4,8,De'Andre Hunter
281,29,2024-12-21,ATL,,MEM,"L, 112-128",,24:14,9,14,.643,1,5,.200,8,9,.889,.679,7,7,1.000,0,2,2,0,0,0,1,1,26,19.0,-22,De'Andre Hunter
282,30,2024-12-23,ATL,,MIN,"W, 117-104",,28:25,5,9,.556,3,7,.429,2,2,1.000,.722,6,6,1.000,0,4,4,2,0,0,3,3,19,13.1,15,De'Andre Hunter
283,31,2024-12-26,ATL,,CHI,"W, 141-133",,27:53,6,14,.429,3,7,.429,3,7,.429,.536,10,10,1.000,1,5,6,1,1,1,2,1,25,19.8,9,De'Andre Hunter
284,32,2024-12-28,ATL,,MIA,"W, 120-110",,28:39,8,14,.571,4,7,.571,4,7,.571,.714,6,7,.857,0,5,5,2,1,0,0,2,26,22.1,15,De'Andre Hunter
285,33,2024-12-29,ATL,@,TOR,"W, 136-107",,22:17,8,11,.727,2,3,.667,6,8,.750,.818,4,7,.571,1,2,3,2,3,0,1,2,22,20.2,11,De'Andre Hunter
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Andre Hunter
286,34,2025-01-01,ATL,@,DEN,"L, 120-139",,26:06,7,14,.500,3,5,.600,4,9,.444,.607,3,5,.600,2,2,4,3,3,0,2,0,20,17.3,-10,De'Andre Hunter
287,35,2025-01-03,ATL,@,LAL,"L, 102-119",,27:12,1,12,.083,0,6,.000,1,6,.167,.083,1,2,.500,1,2,3,1,0,0,1,4,3,-6.0,-11,De'Andre Hunter
288,36,2025-01-04,ATL,@,LAC,"L, 105-131",,28:25,6,16,.375,4,11,.364,2,5,.400,.500,2,2,1.000,0,3,3,2,1,0,3,1,18,9.1,-11,De'Andre Hunter
289,37,2025-01-07,ATL,@,UTA,"W, 124-121",,27:26,5,11,.455,4,7,.571,1,4,.250,.636,3,5,.600,1,3,4,1,0,0,2,3,17,9.6,-12,De'Andre Hunter
290,38,2025-01-09,ATL,@,PHO,"L, 115-123",,27:02,3,9,.333,2,7,.286,1,2,.500,.444,4,4,1.000,0,3,3,4,2,0,3,4,12,8.0,-11,De'Andre Hunter
,39,2025-01-14,ATL,,PHO,"W, 122-117",Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
,40,2025-01-15,ATL,@,CHI,"W, 110-94",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
291,41,2025-01-18,ATL,@,BOS,"W, 119-115 (OT)",,32:02,6,14,.429,1,8,.125,5,6,.833,.464,3,3,1.000,3,3,6,1,2,0,0,4,16,12.7,0,De'Andre Hunter
292,42,2025-01-20,ATL,@,NYK,"L, 110-119",,30:22,7,14,.500,4,7,.571,3,7,.429,.643,4,6,.667,0,0,0,1,0,1,2,1,22,13.2,1,De'Andre Hunter
293,43,2025-01-22,ATL,,DET,"L, 104-114",,29:55,2,14,.143,0,9,.000,2,5,.400,.143,6,6,1.000,0,0,0,3,1,0,2,1,10,1.7,-14,De'Andre Hunter
294,44,2025-01-23,ATL,,TOR,"L, 119-122",,30:36,3,11,.273,2,8,.250,1,3,.333,.364,0,0,,0,2,2,2,0,0,2,4,8,-0.1,-1,De'Andre Hunter
,45,2025-01-25,ATL,,TOR,"L, 94-117",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
295,46,2025-01-27,ATL,@,MIN,"L, 92-100",,31:36,12,21,.571,4,8,.500,8,13,.615,.667,7,8,.875,0,2,2,1,0,0,3,2,35,22.2,-4,De'Andre Hunter
296,47,2025-01-28,ATL,,HOU,"L, 96-100",,28:39,6,15,.400,1,7,.143,5,8,.625,.433,3,4,.750,0,5,5,0,0,0,2,2,16,6.2,2,De'Andre Hunter
297,48,2025-01-30,ATL,@,CLE,"L, 115-137",,30:39,6,13,.462,1,7,.143,5,6,.833,.500,12,12,1.000,2,3,5,2,1,0,4,2,25,18.2,-17,De'Andre Hunter
Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,De'Andre Hunter
298,49,2025-02-01,ATL,@,IND,"L, 127-132",,29:29,1,5,.200,0,3,.000,1,2,.500,.200,2,4,.500,4,4,8,2,1,1,1,2,4,5.4,-15,De'Andre Hunter
299,50,2025-02-03,ATL,@,DET,"W, 132-130",*,30:44,7,14,.500,4,8,.500,3,6,.500,.643,2,2,1.000,0,0,0,0,0,0,0,4,20,11.4,-4,De'Andre Hunter
300,51,2025-02-05,ATL,,SAS,"L, 125-126",*,38:33,8,15,.533,6,11,.545,2,4,.500,.733,0,0,,1,9,10,5,2,0,3,2,22,19.8,4,De'Andre Hunter
,52,2025-02-07,CLE,@,WAS,"W, 134-124",Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,De'Andre Hunter
301,53,2025-02-10,CLE,,MIN,"W, 128-107",*,22:57,3,7,.429,3,4,.750,0,3,.000,.643,3,4,.750,0,1,1,0,1,0,0,5,12,7.2,0,De'Andre Hunter
302,54,2025-02-12,CLE,@,TOR,"W, 131-108",,26:58,6,12,.500,4,9,.444,2,3,.667,.667,2,2,1.000,0,5,5,0,1,0,1,4,18,11.9,4,De'Andre Hunter
303,55,2025-02-20,CLE,@,BRK,"W, 110-97",,26:30,3,10,.300,2,4,.500,1,6,.167,.400,1,2,.500,0,4,4,1,0,1,1,0,9,4.4,8,De'Andre Hunter
304,56,2025-02-21,CLE,,NYK,"W, 142-105",,19:13,6,7,.857,4,4,1.000,2,3,.667,1.143,0,0,,0,0,0,1,0,0,1,2,16,12.4,13,De'Andre Hunter
